record_id,timestamp,source_type,language,country,region,municipality,locality,place_name,location_id,location_precision,location_confidence,claimed_location,ground_truth_location,actor_mentioned,observed_actor,event_id,event_name,information_type,military_signal_type,text,relevance_label,reliability_label,claim_strength,certainty_level,is_duplicate,is_rumor,is_disinformation,is_civilian_related,is_military_related,media_claimed,media_verified,possible_misidentification,misleading_type,ground_truth_status,same_event_cluster,analyst_question
REC-078788,2026-09-12T16:47:00+02:00,חדשות מקומיות,תרגום מכונה לעברית,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,כפר סמוך 4,LOC-024,village,בינונית,"זובין פוטוק, כפר סמוך 4","זובין פוטוק, כפר סמוך 4",עיתונאים מקומיים,,EVT-004,חסימות ראשונות בצירים עירוניים,תחבורה/לוגיסטיקה אזרחית,,נמסר על תאונת דרכים קלה באזור כפר סמוך 4; חלק מהגולשים קשרו זאת בטעות לאירועים הביטחוניים.,2,propaganda/disinformation,בינונית,נמוכה,true,false,false,true,false,true,false,false,זמן שגוי,נכון חלקית,EVT-004-CL-08,האם הטענה על הסלמה מגובה במקור אמין?
REC-034060,2026-09-12T17:01:00+02:00,הודעת דובר,אלבנית בתרגום לעברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,תחנת דלק 84,LOC-104,facility,בינונית,"צפון מיטרוביצה, תחנת דלק 84","צפון מיטרוביצה, תחנת דלק 84",אמבולנסים,,EVT-003,קריאה מקומית להפגנות וחסימות,רשתות חברתיות,,אנשים מתאספים שוב ליד תחנת דלק 84. חלק אומרים שהכביש ייסגר בשעה הקרובה. אין תיעוד חזותי שמאפשר לאמת את הפרטים.,2,disputed,חלשה,נמוכה,false,true,false,true,false,false,false,false,זמן שגוי,נכון,EVT-003-CL-11,האם הדיווח מצביע על פעילות משטרתית?
REC-054963,2026-09-12T17:17:00+02:00,חדשות מקומיות,אלבנית בתרגום לעברית,קוסובו,צפון קוסובו,זבצ׳אן,כפר 30,תחנת דלק 30,LOC-050,facility,נמוכה,"זבצ׳אן, תחנת דלק 30","זבצ׳אן, תחנת דלק 30",קבוצה חמושה מקומית,קבוצה חמושה מקומית,EVT-003,קריאה מקומית להפגנות וחסימות,כוננות בצד הסרבי,כוננות בצד הסרבי,מקור מפלגתי טוען שהאירוע הוא מתקפה מתוכננת מראש. אין ראיות עצמאיות שמאשרות את הטענה. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.,3,likely,בינונית,בינונית,false,true,true,false,true,true,false,false,זמן שגוי,נכון חלקית,EVT-003-CL-10,האם נדרשת הצלבה עם מקורות נוספים?
REC-077068,2026-09-12T18:26:00+02:00,בלוג פוליטי,תרגום מכונה לעברית,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,תחנת דלק 63,LOC-083,facility,בינונית,"זובין פוטוק, תחנת דלק 63","זובין פוטוק, תחנת דלק 63",עיתונאים מקומיים,עיתונאים מקומיים,EVT-003,קריאה מקומית להפגנות וחסימות,דיווח פיצוץ,דיווח פיצוץ,חשבון לא מזוהה טוען שעיתונאים מקומיים נערכים למבצע רחב. הניסוח דומה לפוסטים קודמים מחשבונות בוט.,2,likely,חזקה,בינונית,false,true,true,false,true,false,false,false,זמן שגוי,נכון חלקית,EVT-003-CL-11,האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?
REC-048613,2026-09-12T19:02:00+02:00,בלוג פוליטי,תרגום מכונה לעברית,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,נקודת בידוק כללית 101,LOC-121,checkpoint_area,גבוהה,"לפוסאביץ׳, נקודת בידוק כללית 101","לפוסאביץ׳, נקודת בידוק כללית 101",משטרת קוסובו,משטרת קוסובו,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,דיווח רחפן/מסוק,דיווח רחפן/מסוק,חשבון מקומי מדווח שמשטרת קוסובו הגבירו סיורים באזור נקודת בידוק כללית 101. תושבים מתבקשים להימנע מהגעה למוקדי חיכוך.,2,disputed,חלשה,נמוכה,false,true,false,false,true,false,false,false,זמן שגוי,נכון,EVT-002-CL-10,האם הטענה על הסלמה מגובה במקור אמין?
REC-058162,2026-09-12T19:38:00+02:00,הודעת דובר,אנגלית בתרגום לעברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,ציר גישה 91,LOC-111,road_segment,גבוהה,"צפון מיטרוביצה, ציר גישה 91","צפון מיטרוביצה, ציר גישה 91",משטרת קוסובו,משטרת קוסובו,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,נוכחות KFOR,נוכחות KFOR,כמה מקורות מקומיים טוענים שנשמע פיצוץ ליד ציר גישה 91. מקור אחר טוען שמדובר בזיקוקים או תקלה אזרחית.,3,propaganda/disinformation,בינונית,נמוכה,false,true,false,false,true,false,false,false,זמן שגוי,שגוי,EVT-002-CL-10,האם יש שינוי בנוכחות KFOR?
REC-019240,2026-09-12T19:58:00+02:00,שמועה מקומית,אלבנית בתרגום לעברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 71,כפר סמוך 71,LOC-091,village,בינונית,"צפון מיטרוביצה, כפר סמוך 71","צפון מיטרוביצה, כפר סמוך 71",ממשלת סרביה,ממשלת סרביה,EVT-005,תגבור משטרת קוסובו סביב מתקנים,נוכחות KFOR,נוכחות KFOR,תושבים מדווחים על נוכחות מוגברת של ממשלת סרביה ליד כפר סמוך 71. אין אישור רשמי לפרטים.,4,propaganda/disinformation,בינונית,נמוכה,false,true,false,false,true,false,false,false,זמן שגוי,לא ידוע,EVT-005-CL-12,האם נדרשת הצלבה עם מקורות נוספים?
REC-078967,2026-09-12T20:00:00+02:00,טלגרם,עברית,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 129,אזור תעשייה קטן 129,LOC-149,neighborhood,בינונית,"לפוסאביץ׳, אזור תעשייה קטן 129","לפוסאביץ׳, אזור תעשייה קטן 129",יחידה מיוחדת של משטרת קוסובו,יחידה מיוחדת של משטרת קוסובו,EVT-006,KFOR מגביר סיורים בצפון,פעילות משטרתית,פעילות משטרתית,ראיתי כמה רכבים עם אורות כחולים בדרך לאזור תעשייה קטן 129. לא ברור אם זה משטרה או אמבולנס.,1,propaganda/disinformation,בינונית,נמוכה,true,true,false,true,true,true,false,false,זמן שגוי,שגוי,EVT-006-CL-07,האם מדובר באירוע אמיתי או רעש?
REC-027773,2026-09-12T20:08:00+02:00,X,תרגום מכונה לעברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,כיכר מרכזית 45,LOC-065,public_square,גבוהה,"צפון מיטרוביצה, כיכר מרכזית 45","צפון מיטרוביצה, כיכר מרכזית 45",KFOR,KFOR,EVT-003,קריאה מקומית להפגנות וחסימות,דיווח ירי,דיווח ירי,"סרטון שמופץ ברשת מוצג כאילו צולם באזור כיכר מרכזית 45, אך יש טענות שהוא ישן ואינו קשור לאירועים הנוכחיים.",3,false,בינונית,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,שגוי,EVT-003-CL-11,האם מדובר באירוע אמיתי או רעש?
REC-031936,2026-09-12T20:22:00+02:00,הודעת דובר,אלבנית בתרגום לעברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,תחנת דלק 84,LOC-104,facility,גבוהה,"צפון מיטרוביצה, תחנת דלק 84","צפון מיטרוביצה, תחנת דלק 84",ממשלת קוסובו,,EVT-006,KFOR מגביר סיורים בצפון,רשתות חברתיות,,המשפחה שלי החליטה לא לשלוח את הילדים לבית הספר מחר בגלל המצב. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.,3,false,בינונית,נמוכה,false,false,false,true,false,true,false,false,זמן שגוי,שגוי,EVT-006-CL-11,האם יש שינוי בנוכחות KFOR?
REC-017504,2026-09-12T21:28:00+02:00,קבוצת וואטסאפ,אלבנית בתרגום לעברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,כיכר מרכזית 45,LOC-065,public_square,בינונית,"צפון מיטרוביצה, כיכר מרכזית 45","צפון מיטרוביצה, כיכר מרכזית 45",משרד הפנים של קוסובו,משרד הפנים של קוסובו,EVT-003,קריאה מקומית להפגנות וחסימות,ציוד/רכבים,ציוד/רכבים,שמועה בקבוצות מקומיות טוענת שיש רשימת מעצרים חדשה. אין מקור רשמי שמאשר זאת. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם. הדיווח מופיע בכמה חשבונות עם ניסוח כמעט זהה.,2,unverified,בינונית,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,לא ידוע,EVT-003-CL-02,האם הטענה על הסלמה מגובה במקור אמין?
REC-030928,2026-09-12T21:34:00+02:00,בלוג פוליטי,אנגלית בתרגום לעברית,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,אזור כפרי מערבי,LOC-007,rural_area,בינונית,"זובין פוטוק, אזור כפרי מערבי","זובין פוטוק, אזור כפרי מערבי",יחידה מיוחדת של משטרת קוסובו,יחידה מיוחדת של משטרת קוסובו,EVT-003,קריאה מקומית להפגנות וחסימות,דיווח ירי,דיווח ירי,"דיווח דרמטי טוען שכוחות גדולים חצו את הגבול הלילה. נכון לעכשיו אין לכך אימות, ומקורות אחרים מכחישים.",3,false,חלשה,נמוכה,false,true,true,false,true,true,false,false,זמן שגוי,שגוי,EVT-003-CL-04,האם יש שינוי בנוכחות KFOR?
REC-002351,2026-09-12T22:30:00+02:00,טיקטוק,אלבנית בתרגום לעברית,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,נקודת בידוק כללית 61,LOC-081,checkpoint_area,גבוהה,"זבצ׳אן, נקודת בידוק כללית 61","זבצ׳אן, נקודת בידוק כללית 61",תושבים מקומיים,,EVT-006,KFOR מגביר סיורים בצפון,רשתות חברתיות,,"שמעתי רעש חזק לפני כמה דקות באזור נקודת בידוק כללית 61. אולי זה לא קשור, אבל כולם מדברים על זה.",3,false,חלשה,נמוכה,false,true,false,true,false,false,false,false,זמן שגוי,לא ידוע,EVT-006-CL-12,האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?
REC-072486,2026-09-12T23:22:00+02:00,טיקטוק,אלבנית בתרגום לעברית,קוסובו,צפון קוסובו,זובין פוטוק,כפר 62,תחנת דלק 62,LOC-082,facility,בינונית,"זובין פוטוק, תחנת דלק 62","זובין פוטוק, תחנת דלק 62",קבוצה חמושה מקומית,קבוצה חמושה מקומית,EVT-003,קריאה מקומית להפגנות וחסימות,נוכחות KFOR,נוכחות KFOR,"סרטון שמופץ ברשת מוצג כאילו צולם באזור תחנת דלק 62, אך יש טענות שהוא ישן ואינו קשור לאירועים הנוכחיים. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.",3,unverified,חלשה,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,נכון,EVT-003-CL-09,האם מחאה אזרחית הופכת לעימות חמוש?
REC-089946,2026-09-12T23:23:00+02:00,X,סרבית בתרגום לעברית,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,תחנת דלק 119,LOC-139,facility,בינונית,"זובין פוטוק, תחנת דלק 119","זובין פוטוק, תחנת דלק 119",גורמים לא מזוהים,גורמים לא מזוהים,EVT-003,קריאה מקומית להפגנות וחסימות,גורמים חמושים לא מזוהים,גורמים חמושים לא מזוהים,חשבון לא מזוהה טוען שגורמים לא מזוהים נערכים למבצע רחב. הניסוח דומה לפוסטים קודמים מחשבונות בוט.,3,likely,בינונית,בינונית,false,false,true,false,true,false,false,false,זמן שגוי,נכון,EVT-003-CL-06,האם הטענה על הסלמה מגובה במקור אמין?
REC-038025,2026-09-13T00:41:00+02:00,שמועה מקומית,אלבנית בתרגום לעברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 27,תחנת דלק 27,LOC-047,facility,גבוהה,"צפון מיטרוביצה, תחנת דלק 27","צפון מיטרוביצה, תחנת דלק 27",KFOR,KFOR,EVT-003,קריאה מקומית להפגנות וחסימות,כוננות בצד הסרבי,כוננות בצד הסרבי,יש דיווחים על הפסקת חשמל קצרה באזור תחנת דלק 27. לא ברור אם מדובר בתקלה רגילה.,3,confirmed,בינונית,גבוהה,false,false,false,true,true,false,false,false,זמן שגוי,נכון,EVT-003-CL-03,האם יש שינוי בנוכחות KFOR?
REC-099280,2026-09-13T00:49:00+02:00,טיקטוק,תרגום מכונה לעברית,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,צומת מקומי 43,LOC-063,junction,בינונית,"זבצ׳אן, צומת מקומי 43","זבצ׳אן, צומת מקומי 43",גורמים לא מזוהים,,EVT-006,KFOR מגביר סיורים בצפון,רשתות חברתיות,,ראיתי כמה רכבים עם אורות כחולים בדרך לצומת מקומי 43. לא ברור אם זה משטרה או אמבולנס.,2,propaganda/disinformation,בינונית,נמוכה,false,true,false,true,false,true,false,false,זמן שגוי,שגוי,EVT-006-CL-12,האם מדובר באירוע אמיתי או רעש?
REC-095287,2026-09-13T01:06:00+02:00,הודעת דובר,אלבנית בתרגום לעברית,אלבניה,טירנה,טירנה,טירנה,משרד ההגנה האלבני,LOC-151,facility,גבוהה,"טירנה, משרד ההגנה האלבני","טירנה, משרד ההגנה האלבני",ממשלת קוסובו,,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,מדיני/דיפלומטי,,נציגים בינלאומיים קוראים להפחתת מתיחות ולחזרה לדיאלוג.,3,propaganda/disinformation,חלשה,נמוכה,false,false,false,false,false,false,false,false,זמן שגוי,לא ידוע,EVT-002-CL-11,האם נדרשת הצלבה עם מקורות נוספים?
REC-062111,2026-09-13T01:25:00+02:00,ערוץ חדשות בינלאומי,אנגלית בתרגום לעברית,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,נקודת בידוק כללית 68,LOC-088,checkpoint_area,גבוהה,"זבצ׳אן, נקודת בידוק כללית 68","זבצ׳אן, נקודת בידוק כללית 68",תושבים מקומיים,תושבים מקומיים,EVT-003,קריאה מקומית להפגנות וחסימות,נוכחות KFOR,נוכחות KFOR,"פוסט ויראלי מייחס ירי לתושבים מקומיים, אך סרטונים אחרים מאותו אזור מצביעים על רעש אזרחי בלבד.",3,unverified,חלשה,נמוכה,false,true,true,false,true,false,true,false,זמן שגוי,נכון חלקית,EVT-003-CL-09,האם מחאה אזרחית הופכת לעימות חמוש?
REC-003548,2026-09-13T01:32:00+02:00,חדשות מקומיות,סרבית בתרגום לעברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,נקודת בידוק כללית 3,LOC-023,checkpoint_area,גבוהה,"צפון מיטרוביצה, נקודת בידוק כללית 3","צפון מיטרוביצה, נקודת בידוק כללית 3",תושבים מקומיים,תושבים מקומיים,EVT-005,תגבור משטרת קוסובו סביב מתקנים,דיווח רחפן/מסוק,דיווח רחפן/מסוק,כמה מקורות מקומיים טוענים שנשמע פיצוץ ליד נקודת בידוק כללית 3. מקור אחר טוען שמדובר בזיקוקים או תקלה אזרחית. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.,2,false,בינונית,נמוכה,false,true,false,false,true,false,false,false,זמן שגוי,שגוי,EVT-005-CL-06,האם מדובר באירוע אמיתי או רעש?
