event_id,timestamp_utc,source_type,source_reliability,source_reliability_label,certainty_level,entity_id,location_id,event_summary,collection_family,observation_id,mission_id,object_class,estimated_object_count,movement_status,movement_direction,geolocation_confidence,identification_confidence
REC-V2-000041,2026-09-12T14:46:52.512819Z,Spokesperson statement,Unrated,likely,Medium,ENT-KFOR-AVIATION,LOC-082,תושבים דיווחו על נוכחות כוח התעופה של KFOR במרחב Gas station 62. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000042,2026-09-12T18:19:15.515013Z,Telegram,Unrated,likely,Low,ENT-KOSOVO-GOV,LOC-118,מספר פרסומים מצביעים על תנועה של ממשלת קוסובו ליד General checkpoint 98; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000043,2026-09-13T19:52:06.310888Z,WhatsApp group,Unrated,likely,High,ENT-LOCAL-JOURNALISTS,LOC-054,"הודעה פומבית מתייחסת לעיתונאים מקומיים ולשינוי היערכות in the area Access route 34, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000044,2026-09-13T08:07:56.830834Z,TikTok,Unrated,confirmed,Low,ENT-UNIDENTIFIED-ACTORS,LOC-123,מספר פרסומים מצביעים על תנועה של גורמים לא מזוהים ליד Nearby village 103; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000045,2026-09-14T01:05:04.780780Z,TikTok,Unrated,unverified,Medium,ENT-LOCAL-JOURNALISTS,LOC-079,"הודעה פומבית מתייחסת לעיתונאים מקומיים ולשינוי היערכות in the area School 59, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000046,2026-09-13T21:58:29.204320Z,Political blog,Unrated,confirmed,Medium,ENT-KFOR-MSU,LOC-112,תושבים דיווחו על נוכחות היחידה הרב-לאומית המיוחדת של KFOR במרחב Local junction 92. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000047,2026-09-13T01:40:51.770230Z,Political blog,Unrated,unverified,Medium,ENT-KFOR,LOC-141,תושבים דיווחו על נוכחות KFOR במרחב Gas station 121. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000048,2026-09-13T00:20:06.804162Z,Local news,Unrated,disputed,Low,ENT-LOCAL-JOURNALISTS,LOC-102,דיווח ממקור גלוי מתאר פעילות של עיתונאים מקומיים in the area Nearby village 82 במסגרת 'תגבור משטרת קוסובו סביב מתקנים'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000049,2026-09-13T22:20:52.817302Z,Spokesperson statement,Unrated,unverified,High,ENT-LOCAL-RESIDENTS,LOC-116,תושבים דיווחו על נוכחות תושבים מקומיים במרחב General checkpoint 96. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000050,2026-09-12T17:29:46.364187Z,Local rumor,Unrated,unverified,Low,ENT-KOSOVO-SPECIAL-POLICE,LOC-043,"הודעה פומבית מתייחסת ליחידה מיוחדת של משטרת קוסובו ולשינוי היערכות in the area Local junction 23, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000051,2026-09-13T01:02:02.603406Z,Political blog,Unrated,unverified,Medium,ENT-KSF,LOC-082,"הודעה פומבית מתייחסת לKSF ולשינוי היערכות in the area Gas station 62, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000052,2026-09-12T23:10:06.497005Z,Political blog,Unrated,likely,High,ENT-KFOR,LOC-128,"הודעה פומבית מתייחסת לKFOR ולשינוי היערכות in the area Central square 108, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000053,2026-09-13T17:50:10.099865Z,TikTok,Unrated,confirmed,Medium,ENT-KOSOVO-MOI,LOC-143,מספר פרסומים מצביעים על תנועה של משרד הפנים של קוסובו ליד Health center 123; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000054,2026-09-12T18:11:09.854533Z,Telegram,Unrated,likely,Medium,ENT-EULEX,LOC-034,"הודעה פומבית מתייחסת לEULEX ולשינוי היערכות in the area Small industrial area 14, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000055,2026-09-14T00:09:17.859236Z,Telegram,Unrated,unverified,Medium,ENT-KFOR,LOC-068,תושבים דיווחו על נוכחות KFOR במרחב Access route 48. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000056,2026-09-12T22:19:15.758359Z,WhatsApp group,Unrated,unverified,High,ENT-KFOR,LOC-039,מספר פרסומים מצביעים על תנועה של KFOR ליד Small industrial area 19; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000057,2026-09-13T05:21:33.404370Z,Local rumor,Unrated,likely,High,ENT-KFOR,LOC-080,דיווח ממקור גלוי מתאר פעילות של KFOR in the area Health center 60 במסגרת 'תגבור משטרת קוסובו סביב מתקנים'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000058,2026-09-13T23:48:01.328017Z,Political blog,Unrated,disputed,Medium,ENT-KOSOVO-SPECIAL-POLICE,LOC-138,דיווח ממקור גלוי מתאר פעילות של יחידה מיוחדת של משטרת קוסובו in the area Small industrial area 118 במסגרת 'דיווחים סותרים על gunfire in the area כפרי'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000059,2026-09-12T17:55:14.014065Z,Local rumor,Unrated,unverified,Low,ENT-KOSOVO-GOV,LOC-001,מספר פרסומים מצביעים על תנועה של ממשלת קוסובו ליד אזור גשר איבר; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000060,2026-09-12T20:24:24.712026Z,Telegram,Unrated,disputed,Low,ENT-SERBIAN-PROTESTERS,LOC-010,פרסום פומבי מצביע על נוכחות אפשרית של מפגינים סרבים מקומיים במרחב צומת כניסה לעיירה; אין אימות עצמאי להיקף הכוח.,public_source,,,,,,,,
REC-V2-000061,2026-09-13T10:00:52.957207Z,Spokesperson statement,Unrated,unverified,Low,ENT-LOCAL-RESIDENTS,LOC-136,תושבים דיווחו על נוכחות תושבים מקומיים במרחב Small industrial area 116. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000062,2026-09-12T14:53:46.418567Z,Political blog,Unrated,confirmed,Medium,ENT-KOSOVO-SPECIAL-POLICE,LOC-072,"הודעה פומבית מתייחסת ליחידה מיוחדת של משטרת קוסובו ולשינוי היערכות in the area Gas station 52, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000063,2026-09-13T17:41:51.940344Z,Spokesperson statement,Unrated,unverified,High,ENT-UNIDENTIFIED-ACTORS,LOC-083,דיווח ממקור גלוי מתאר פעילות של גורמים לא מזוהים in the area Gas station 63 במסגרת 'פשיטה משטרתית לילית מוגבלת'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000064,2026-09-12T22:36:27.906013Z,WhatsApp group,Unrated,unverified,Medium,ENT-LOCAL-JOURNALISTS,LOC-001,"הודעה פומבית מתייחסת לעיתונאים מקומיים ולשינוי היערכות in the area אזור גשר איבר, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000065,2026-09-12T10:14:09.803794Z,International news channel,Unrated,false,High,ENT-LOCAL-JOURNALISTS,LOC-093,דיווח ממקור גלוי מתאר פעילות של עיתונאים מקומיים in the area Local junction 73 במסגרת 'הודעת קוסובו על מבצע אכיפה מוגבל'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000066,2026-09-13T08:49:57.810486Z,Telegram,Unrated,disputed,High,ENT-KOSOVO-SPECIAL-POLICE,LOC-004,"הודעה פומבית מתייחסת ליחידה מיוחדת של משטרת קוסובו ולשינוי היערכות in the area הכביש לצפון מיטרוביצה, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000067,2026-09-13T21:55:50.952036Z,Local news,Unrated,likely,Low,ENT-KOSOVO-SPECIAL-POLICE,LOC-097,דיווח ממקור גלוי מתאר פעילות של יחידה מיוחדת של משטרת קוסובו in the area Health center 77 במסגרת 'דיווחים סותרים על gunfire in the area כפרי'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000068,2026-09-14T02:44:51.516822Z,TikTok,Unrated,disputed,High,ENT-LOCAL-RESIDENTS,LOC-103,"הודעה פומבית מתייחסת לתושבים מקומיים ולשינוי היערכות in the area Local junction 83, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000069,2026-09-13T12:34:22.413287Z,Political blog,Unrated,likely,Medium,ENT-KFOR-KTRBN,LOC-139,"הודעה פומבית מתייחסת לגדוד העתודה הטקטית של KFOR ולשינוי היערכות in the area Gas station 119, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000070,2026-09-12T23:19:58.805226Z,TikTok,Unrated,confirmed,Medium,ENT-AMBULANCES,LOC-019,תושבים דיווחו על נוכחות אמבולנסים במרחב תחנת דלק מרכזית. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000071,2026-09-14T02:33:33.540851Z,X,Unrated,likely,Medium,ENT-AMBULANCES,LOC-010,תושבים דיווחו על נוכחות אמבולנסים במרחב צומת כניסה לעיירה. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000072,2026-09-12T21:44:13.952036Z,Political blog,Unrated,false,High,ENT-LOCAL-JOURNALISTS,LOC-022,מספר פרסומים מצביעים על תנועה של עיתונאים מקומיים ליד Gas station 2; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000073,2026-09-14T05:43:03.743246Z,Telegram,Unrated,likely,Medium,ENT-KSF,LOC-093,מספר פרסומים מצביעים על תנועה של KSF ליד Local junction 73; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000074,2026-09-13T14:03:59.797076Z,Local rumor,Unrated,unverified,Low,ENT-UNIDENTIFIED-ACTORS,LOC-073,דיווח ממקור גלוי מתאר פעילות של גורמים לא מזוהים in the area Health center 53 במסגרת 'שמועה על רשימת מעצרים נוספת'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000075,2026-09-13T02:34:19.346485Z,Political blog,Unrated,unverified,Low,ENT-KOSOVO-MOI,LOC-140,מספר פרסומים מצביעים על תנועה של משרד הפנים של קוסובו ליד School 120; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000076,2026-09-12T18:42:03.009495Z,Local rumor,Unrated,unverified,High,ENT-KOSOVO-GOV,LOC-075,מספר פרסומים מצביעים על תנועה של ממשלת קוסובו ליד Access route 55; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000077,2026-09-12T15:41:40.979921Z,Facebook,Unrated,unverified,Medium,ENT-LOCAL-RESIDENTS,LOC-094,"הודעה פומבית מתייחסת לתושבים מקומיים ולשינוי היערכות in the area Gas station 74, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000078,2026-09-12T15:10:37.023528Z,Telegram,Unrated,unverified,Low,ENT-KOSOVO-SPECIAL-POLICE,LOC-109,תושבים דיווחו על נוכחות יחידה מיוחדת של משטרת קוסובו במרחב Health center 89. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000079,2026-09-12T21:44:46.725181Z,X,Unrated,confirmed,Medium,ENT-AMBULANCES,LOC-113,"הודעה פומבית מתייחסת לאמבולנסים ולשינוי היערכות in the area Gas station 93, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000080,2026-09-12T22:18:41.029061Z,Political blog,Unrated,false,Low,ENT-KOSOVO-GOV,LOC-132,תושבים דיווחו על נוכחות ממשלת קוסובו במרחב General checkpoint 112. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000081,2026-09-13T12:35:55.940118Z,X,Unrated,disputed,Low,ENT-AMBULANCES,LOC-085,תושבים דיווחו על נוכחות אמבולנסים במרחב Nearby village 65. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000082,2026-09-13T05:42:51.013988Z,Political blog,Unrated,likely,Low,ENT-KSF,LOC-004,תושבים דיווחו על נוכחות KSF במרחב הכביש לצפון מיטרוביצה. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000083,2026-09-12T17:38:50.427263Z,Facebook,Unrated,likely,High,ENT-KFOR,LOC-026,דיווח ממקור גלוי מתאר פעילות של KFOR in the area General checkpoint 6 במסגרת 'blockages ראשונות בצgunfireם עירוניים'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000084,2026-09-12T21:28:05.942152Z,Local rumor,Unrated,likely,Medium,ENT-KFOR,LOC-012,דיווח ממקור גלוי מתאר פעילות של KFOR in the area אזור מיוער סמוך לכפר במסגרת 'קריאה מקומית להפגנות וblockages'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000085,2026-09-12T23:25:11.813006Z,International news channel,Unrated,confirmed,Low,ENT-AMBULANCES,LOC-072,דיווח ממקור גלוי מתאר פעילות של אמבולנסים in the area Gas station 52 במסגרת 'blockages ראשונות בצgunfireם עירוניים'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000086,2026-09-12T13:29:52.581284Z,Spokesperson statement,Unrated,disputed,Low,ENT-AMBULANCES,LOC-085,"הודעה פומבית מתייחסת לאמבולנסים ולשינוי היערכות in the area Nearby village 65, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000087,2026-09-13T21:02:53.634436Z,TikTok,Unrated,likely,Medium,ENT-AMBULANCES,LOC-106,מספר פרסומים מצביעים על תנועה של אמבולנסים ליד Small industrial area 86; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000088,2026-09-13T16:50:19.363165Z,Telegram,Unrated,unverified,Medium,ENT-LOCAL-JOURNALISTS,LOC-005,מספר פרסומים מצביעים על תנועה של עיתונאים מקומיים ליד מרכז העיירה; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000089,2026-09-13T03:32:50.222641Z,Telegram,Unrated,likely,Medium,ENT-KOSOVO-POLICE,LOC-148,דיווח ממקור גלוי מתאר פעילות של משטרת קוסובו in the area School 128 במסגרת 'תגבור משטרת קוסובו סביב מתקנים'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000090,2026-09-12T11:01:11.407137Z,Local rumor,Unrated,unverified,High,ENT-LOCAL-JOURNALISTS,LOC-109,"הודעה פומבית מתייחסת לעיתונאים מקומיים ולשינוי היערכות in the area Health center 89, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000091,2026-09-13T17:07:12.707822Z,Political blog,Unrated,disputed,Low,ENT-LOCAL-RESIDENTS,LOC-055,דיווח ממקור גלוי מתאר פעילות של תושבים מקומיים in the area Small industrial area 35 במסגרת 'פצועים ראשונים והפצת סרטונים חלקיים'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000092,2026-09-12T16:12:25.340669Z,Spokesperson statement,Unrated,confirmed,Low,ENT-LOCAL-RESIDENTS,LOC-019,תושבים דיווחו על נוכחות תושבים מקומיים במרחב תחנת דלק מרכזית. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000093,2026-09-12T18:09:06.973727Z,Facebook,Unrated,disputed,Medium,ENT-KSF,LOC-064,דיווח ממקור גלוי מתאר פעילות של KSF in the area General checkpoint 44 במסגרת 'קריאה מקומית להפגנות וblockages'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000094,2026-09-12T17:12:15.313538Z,WhatsApp group,Unrated,unverified,Medium,ENT-KFOR,LOC-028,מספר פרסומים מצביעים על תנועה של KFOR ליד Nearby village 8; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000095,2026-09-13T17:16:55.008501Z,Political blog,Unrated,unverified,Medium,ENT-KSF,LOC-105,תושבים דיווחו על נוכחות KSF במרחב Central square 85. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
