event_id,timestamp_utc,source_type,source_reliability,source_reliability_label,certainty_level,entity_id,location_id,event_summary
REC-V2-000011,2026-09-12T07:01:13.000418Z,טלגרם,לא סווגה,confirmed,נמוכה,ENT-LOCAL-RESIDENTS,LOC-045,דיווח ממקור גלוי מתאר פעילות של תושבים מקומיים באזור כפר סמוך 25 במסגרת 'מעצר דמות סרבית מקומית'. נדרש אימות נוסף.
REC-V2-000012,2026-09-13T01:20:36.716833Z,ערוץ חדשות בינלאומי,לא סווגה,likely,גבוהה,ENT-SERBIAN-PROTESTERS,LOC-127,פרסום פומבי מצביע על נוכחות אפשרית של מפגינים סרבים מקומיים במרחב נקודת בידוק כללית 107; אין אימות עצמאי להיקף הכוח.
REC-V2-000013,2026-09-12T20:29:50.920559Z,טלגרם,לא סווגה,disputed,גבוהה,ENT-KFOR-KTRBN,LOC-079,"הודעה פומבית מתייחסת לגדוד העתודה הטקטית של KFOR ולשינוי היערכות באזור בית ספר 59, ללא פירוט מלא."
REC-V2-000014,2026-09-13T17:52:02.187395Z,פייסבוק,לא סווגה,likely,גבוהה,ENT-KOSOVO-SPECIAL-POLICE,LOC-107,דיווח ממקור גלוי מתאר פעילות של יחידה מיוחדת של משטרת קוסובו באזור מרכז בריאות 87 במסגרת 'פשיטה משטרתית לילית מוגבלת'. נדרש אימות נוסף.
REC-V2-000015,2026-09-13T20:17:18.842795Z,שמועה מקומית,לא סווגה,likely,בינונית,ENT-UNIDENTIFIED-ACTORS,LOC-136,מספר פרסומים מצביעים על תנועה של גורמים לא מזוהים ליד אזור תעשייה קטן 116; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000016,2026-09-13T02:33:50.649485Z,בלוג פוליטי,לא סווגה,unverified,בינונית,ENT-KOSOVO-GOV,LOC-037,מספר פרסומים מצביעים על תנועה של ממשלת קוסובו ליד כפר סמוך 17; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000017,2026-09-12T22:55:21.960611Z,בלוג פוליטי,לא סווגה,false,נמוכה,ENT-LOCAL-JOURNALISTS,LOC-091,תושבים דיווחו על נוכחות עיתונאים מקומיים במרחב כפר סמוך 71. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000018,2026-09-13T23:50:30.275840Z,X,לא סווגה,confirmed,גבוהה,ENT-LOCAL-JOURNALISTS,LOC-012,תושבים דיווחו על נוכחות עיתונאים מקומיים במרחב אזור מיוער סמוך לכפר. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000019,2026-09-14T02:49:44.904153Z,הודעת דובר,לא סווגה,likely,נמוכה,ENT-AMBULANCES,LOC-142,דיווח ממקור גלוי מתאר פעילות של אמבולנסים באזור אזור תעשייה קטן 122 במסגרת 'דיווחים סותרים על ירי באזור כפרי'. נדרש אימות נוסף.
REC-V2-000020,2026-09-13T01:30:55.362474Z,ערוץ חדשות בינלאומי,לא סווגה,likely,נמוכה,ENT-EULEX,LOC-139,"הודעה פומבית מתייחסת לEULEX ולשינוי היערכות באזור תחנת דלק 119, ללא פירוט מלא."
REC-V2-000021,2026-09-13T05:23:56.738745Z,ערוץ חדשות בינלאומי,לא סווגה,unverified,נמוכה,ENT-KOSOVO-GOV,LOC-073,מספר פרסומים מצביעים על תנועה של ממשלת קוסובו ליד מרכז בריאות 53; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000022,2026-09-13T09:19:17.935606Z,טיקטוק,לא סווגה,likely,בינונית,ENT-EULEX,LOC-030,דיווח ממקור גלוי מתאר פעילות של EULEX באזור תחנת דלק 10 במסגרת 'עימות ליד מבנה עירייה'. נדרש אימות נוסף.
REC-V2-000023,2026-09-12T20:22:04.705648Z,שמועה מקומית,לא סווגה,likely,נמוכה,ENT-KOSOVO-GOV,LOC-068,"הודעה פומבית מתייחסת לממשלת קוסובו ולשינוי היערכות באזור ציר גישה 48, ללא פירוט מלא."
REC-V2-000024,2026-09-13T18:08:48.879166Z,טלגרם,לא סווגה,confirmed,גבוהה,ENT-LOCAL-RESIDENTS,LOC-036,תושבים דיווחו על נוכחות תושבים מקומיים במרחב כיכר מרכזית 16. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000025,2026-09-12T17:44:06.480995Z,שמועה מקומית,לא סווגה,unverified,בינונית,ENT-KOSOVO-GOV,LOC-101,דיווח ממקור גלוי מתאר פעילות של ממשלת קוסובו באזור נקודת בידוק כללית 81 במסגרת 'הודעת קוסובו על מבצע אכיפה מוגבל'. נדרש אימות נוסף.
REC-V2-000026,2026-09-13T06:15:44.317291Z,X,לא סווגה,likely,בינונית,ENT-EULEX,LOC-027,תושבים דיווחו על נוכחות EULEX במרחב תחנת דלק 7. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000027,2026-09-13T04:33:33.204035Z,שמועה מקומית,לא סווגה,unverified,בינונית,ENT-KSF,LOC-145,דיווח ממקור גלוי מתאר פעילות של KSF באזור ציר גישה 125 במסגרת 'תגבור משטרת קוסובו סביב מתקנים'. נדרש אימות נוסף.
REC-V2-000028,2026-09-13T19:43:10.204873Z,X,לא סווגה,confirmed,בינונית,ENT-KOSOVO-SPECIAL-POLICE,LOC-082,"הודעה פומבית מתייחסת ליחידה מיוחדת של משטרת קוסובו ולשינוי היערכות באזור תחנת דלק 62, ללא פירוט מלא."
REC-V2-000029,2026-09-12T17:38:49.771436Z,הודעת דובר,לא סווגה,unverified,נמוכה,ENT-EULEX,LOC-071,תושבים דיווחו על נוכחות EULEX במרחב מרכז בריאות 51. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000030,2026-09-13T03:51:14.416500Z,בלוג פוליטי,לא סווגה,unverified,בינונית,ENT-KOSOVO-SPECIAL-POLICE,LOC-040,"הודעה פומבית מתייחסת ליחידה מיוחדת של משטרת קוסובו ולשינוי היערכות באזור צומת מקומי 20, ללא פירוט מלא."
REC-V2-000031,2026-09-12T19:02:33.956002Z,חדשות מקומיות,לא סווגה,disputed,נמוכה,ENT-EULEX,LOC-051,"הודעה פומבית מתייחסת לEULEX ולשינוי היערכות באזור כיכר מרכזית 31, ללא פירוט מלא."
REC-V2-000032,2026-09-12T11:24:32.496269Z,טיקטוק,לא סווגה,unverified,נמוכה,ENT-SERBIAN-PROTESTERS,LOC-056,פרסום פומבי מצביע על נוכחות אפשרית של מפגינים סרבים מקומיים במרחב אזור תעשייה קטן 36; אין אימות עצמאי להיקף הכוח.
REC-V2-000033,2026-09-13T13:15:50.979911Z,X,לא סווגה,unverified,גבוהה,ENT-AMBULANCES,LOC-142,מספר פרסומים מצביעים על תנועה של אמבולנסים ליד אזור תעשייה קטן 122; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000034,2026-09-13T23:22:55.130515Z,חדשות מקומיות,לא סווגה,confirmed,נמוכה,ENT-AMBULANCES,LOC-135,מספר פרסומים מצביעים על תנועה של אמבולנסים ליד אזור תעשייה קטן 115; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000035,2026-09-13T19:38:43.468356Z,קבוצת וואטסאפ,לא סווגה,unverified,בינונית,ENT-AMBULANCES,LOC-143,"הודעה פומבית מתייחסת לאמבולנסים ולשינוי היערכות באזור מרכז בריאות 123, ללא פירוט מלא."
REC-V2-000036,2026-09-12T14:09:59.572629Z,חדשות מקומיות,לא סווגה,confirmed,נמוכה,ENT-KFOR-RCE,LOC-076,מספר פרסומים מצביעים על תנועה של KFOR פיקוד אזורי מזרח ליד בית ספר 56; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000037,2026-09-12T14:29:30.341058Z,ערוץ חדשות בינלאומי,לא סווגה,disputed,בינונית,ENT-KOSOVO-SPECIAL-POLICE,LOC-031,תושבים דיווחו על נוכחות יחידה מיוחדת של משטרת קוסובו במרחב ציר גישה 11. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000038,2026-09-12T19:48:44.534552Z,טיקטוק,לא סווגה,unverified,בינונית,ENT-LOCAL-JOURNALISTS,LOC-003,"הודעה פומבית מתייחסת לעיתונאים מקומיים ולשינוי היערכות באזור אזור מבנה העירייה, ללא פירוט מלא."
REC-V2-000039,2026-09-14T03:04:06.983919Z,שמועה מקומית,לא סווגה,likely,בינונית,ENT-UNIDENTIFIED-ACTORS,LOC-029,דיווח ממקור גלוי מתאר פעילות של גורמים לא מזוהים באזור אזור תעשייה קטן 9 במסגרת 'דיווחים סותרים על ירי באזור כפרי'. נדרש אימות נוסף.
REC-V2-000040,2026-09-12T16:18:22.389492Z,שמועה מקומית,לא סווגה,unverified,בינונית,ENT-KFOR,LOC-042,"הודעה פומבית מתייחסת לKFOR ולשינוי היערכות באזור כיכר מרכזית 22, ללא פירוט מלא."
REC-V2-000041,2026-09-12T14:46:52.512819Z,הודעת דובר,לא סווגה,likely,בינונית,ENT-KFOR-AVIATION,LOC-082,תושבים דיווחו על נוכחות כוח התעופה של KFOR במרחב תחנת דלק 62. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000042,2026-09-12T18:19:15.515013Z,טלגרם,לא סווגה,likely,נמוכה,ENT-KOSOVO-GOV,LOC-118,מספר פרסומים מצביעים על תנועה של ממשלת קוסובו ליד נקודת בידוק כללית 98; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000043,2026-09-13T19:52:06.310888Z,קבוצת וואטסאפ,לא סווגה,likely,גבוהה,ENT-LOCAL-JOURNALISTS,LOC-054,"הודעה פומבית מתייחסת לעיתונאים מקומיים ולשינוי היערכות באזור ציר גישה 34, ללא פירוט מלא."
REC-V2-000044,2026-09-13T08:07:56.830834Z,טיקטוק,לא סווגה,confirmed,נמוכה,ENT-UNIDENTIFIED-ACTORS,LOC-123,מספר פרסומים מצביעים על תנועה של גורמים לא מזוהים ליד כפר סמוך 103; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000045,2026-09-14T01:05:04.780780Z,טיקטוק,לא סווגה,unverified,בינונית,ENT-LOCAL-JOURNALISTS,LOC-079,"הודעה פומבית מתייחסת לעיתונאים מקומיים ולשינוי היערכות באזור בית ספר 59, ללא פירוט מלא."
REC-V2-000046,2026-09-13T21:58:29.204320Z,בלוג פוליטי,לא סווגה,confirmed,בינונית,ENT-KFOR-MSU,LOC-112,תושבים דיווחו על נוכחות היחידה הרב-לאומית המיוחדת של KFOR במרחב צומת מקומי 92. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000047,2026-09-13T01:40:51.770230Z,בלוג פוליטי,לא סווגה,unverified,בינונית,ENT-KFOR,LOC-141,תושבים דיווחו על נוכחות KFOR במרחב תחנת דלק 121. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000048,2026-09-13T00:20:06.804162Z,חדשות מקומיות,לא סווגה,disputed,נמוכה,ENT-LOCAL-JOURNALISTS,LOC-102,דיווח ממקור גלוי מתאר פעילות של עיתונאים מקומיים באזור כפר סמוך 82 במסגרת 'תגבור משטרת קוסובו סביב מתקנים'. נדרש אימות נוסף.
REC-V2-000049,2026-09-13T22:20:52.817302Z,הודעת דובר,לא סווגה,unverified,גבוהה,ENT-LOCAL-RESIDENTS,LOC-116,תושבים דיווחו על נוכחות תושבים מקומיים במרחב נקודת בידוק כללית 96. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000050,2026-09-12T17:29:46.364187Z,שמועה מקומית,לא סווגה,unverified,נמוכה,ENT-KOSOVO-SPECIAL-POLICE,LOC-043,"הודעה פומבית מתייחסת ליחידה מיוחדת של משטרת קוסובו ולשינוי היערכות באזור צומת מקומי 23, ללא פירוט מלא."
REC-V2-000051,2026-09-13T01:02:02.603406Z,בלוג פוליטי,לא סווגה,unverified,בינונית,ENT-KSF,LOC-082,"הודעה פומבית מתייחסת לKSF ולשינוי היערכות באזור תחנת דלק 62, ללא פירוט מלא."
REC-V2-000052,2026-09-12T23:10:06.497005Z,בלוג פוליטי,לא סווגה,likely,גבוהה,ENT-KFOR,LOC-128,"הודעה פומבית מתייחסת לKFOR ולשינוי היערכות באזור כיכר מרכזית 108, ללא פירוט מלא."
REC-V2-000053,2026-09-13T17:50:10.099865Z,טיקטוק,לא סווגה,confirmed,בינונית,ENT-KOSOVO-MOI,LOC-143,מספר פרסומים מצביעים על תנועה של משרד הפנים של קוסובו ליד מרכז בריאות 123; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000054,2026-09-12T18:11:09.854533Z,טלגרם,לא סווגה,likely,בינונית,ENT-EULEX,LOC-034,"הודעה פומבית מתייחסת לEULEX ולשינוי היערכות באזור אזור תעשייה קטן 14, ללא פירוט מלא."
REC-V2-000055,2026-09-14T00:09:17.859236Z,טלגרם,לא סווגה,unverified,בינונית,ENT-KFOR,LOC-068,תושבים דיווחו על נוכחות KFOR במרחב ציר גישה 48. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000056,2026-09-12T22:19:15.758359Z,קבוצת וואטסאפ,לא סווגה,unverified,גבוהה,ENT-KFOR,LOC-039,מספר פרסומים מצביעים על תנועה של KFOR ליד אזור תעשייה קטן 19; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000057,2026-09-13T05:21:33.404370Z,שמועה מקומית,לא סווגה,likely,גבוהה,ENT-KFOR,LOC-080,דיווח ממקור גלוי מתאר פעילות של KFOR באזור מרכז בריאות 60 במסגרת 'תגבור משטרת קוסובו סביב מתקנים'. נדרש אימות נוסף.
REC-V2-000058,2026-09-13T23:48:01.328017Z,בלוג פוליטי,לא סווגה,disputed,בינונית,ENT-KOSOVO-SPECIAL-POLICE,LOC-138,דיווח ממקור גלוי מתאר פעילות של יחידה מיוחדת של משטרת קוסובו באזור אזור תעשייה קטן 118 במסגרת 'דיווחים סותרים על ירי באזור כפרי'. נדרש אימות נוסף.
REC-V2-000059,2026-09-12T17:55:14.014065Z,שמועה מקומית,לא סווגה,unverified,נמוכה,ENT-KOSOVO-GOV,LOC-001,מספר פרסומים מצביעים על תנועה של ממשלת קוסובו ליד אזור גשר איבר; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000060,2026-09-12T20:24:24.712026Z,טלגרם,לא סווגה,disputed,נמוכה,ENT-SERBIAN-PROTESTERS,LOC-010,פרסום פומבי מצביע על נוכחות אפשרית של מפגינים סרבים מקומיים במרחב צומת כניסה לעיירה; אין אימות עצמאי להיקף הכוח.
REC-V2-000061,2026-09-13T10:00:52.957207Z,הודעת דובר,לא סווגה,unverified,נמוכה,ENT-LOCAL-RESIDENTS,LOC-136,תושבים דיווחו על נוכחות תושבים מקומיים במרחב אזור תעשייה קטן 116. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000062,2026-09-12T14:53:46.418567Z,בלוג פוליטי,לא סווגה,confirmed,בינונית,ENT-KOSOVO-SPECIAL-POLICE,LOC-072,"הודעה פומבית מתייחסת ליחידה מיוחדת של משטרת קוסובו ולשינוי היערכות באזור תחנת דלק 52, ללא פירוט מלא."
REC-V2-000063,2026-09-13T17:41:51.940344Z,הודעת דובר,לא סווגה,unverified,גבוהה,ENT-UNIDENTIFIED-ACTORS,LOC-083,דיווח ממקור גלוי מתאר פעילות של גורמים לא מזוהים באזור תחנת דלק 63 במסגרת 'פשיטה משטרתית לילית מוגבלת'. נדרש אימות נוסף.
REC-V2-000064,2026-09-12T22:36:27.906013Z,קבוצת וואטסאפ,לא סווגה,unverified,בינונית,ENT-LOCAL-JOURNALISTS,LOC-001,"הודעה פומבית מתייחסת לעיתונאים מקומיים ולשינוי היערכות באזור אזור גשר איבר, ללא פירוט מלא."
REC-V2-000065,2026-09-12T10:14:09.803794Z,ערוץ חדשות בינלאומי,לא סווגה,false,גבוהה,ENT-LOCAL-JOURNALISTS,LOC-093,דיווח ממקור גלוי מתאר פעילות של עיתונאים מקומיים באזור צומת מקומי 73 במסגרת 'הודעת קוסובו על מבצע אכיפה מוגבל'. נדרש אימות נוסף.
REC-V2-000066,2026-09-13T08:49:57.810486Z,טלגרם,לא סווגה,disputed,גבוהה,ENT-KOSOVO-SPECIAL-POLICE,LOC-004,"הודעה פומבית מתייחסת ליחידה מיוחדת של משטרת קוסובו ולשינוי היערכות באזור הכביש לצפון מיטרוביצה, ללא פירוט מלא."
REC-V2-000067,2026-09-13T21:55:50.952036Z,חדשות מקומיות,לא סווגה,likely,נמוכה,ENT-KOSOVO-SPECIAL-POLICE,LOC-097,דיווח ממקור גלוי מתאר פעילות של יחידה מיוחדת של משטרת קוסובו באזור מרכז בריאות 77 במסגרת 'דיווחים סותרים על ירי באזור כפרי'. נדרש אימות נוסף.
REC-V2-000068,2026-09-14T02:44:51.516822Z,טיקטוק,לא סווגה,disputed,גבוהה,ENT-LOCAL-RESIDENTS,LOC-103,"הודעה פומבית מתייחסת לתושבים מקומיים ולשינוי היערכות באזור צומת מקומי 83, ללא פירוט מלא."
REC-V2-000069,2026-09-13T12:34:22.413287Z,בלוג פוליטי,לא סווגה,likely,בינונית,ENT-KFOR-KTRBN,LOC-139,"הודעה פומבית מתייחסת לגדוד העתודה הטקטית של KFOR ולשינוי היערכות באזור תחנת דלק 119, ללא פירוט מלא."
REC-V2-000070,2026-09-12T23:19:58.805226Z,טיקטוק,לא סווגה,confirmed,בינונית,ENT-AMBULANCES,LOC-019,תושבים דיווחו על נוכחות אמבולנסים במרחב תחנת דלק מרכזית. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000071,2026-09-14T02:33:33.540851Z,X,לא סווגה,likely,בינונית,ENT-AMBULANCES,LOC-010,תושבים דיווחו על נוכחות אמבולנסים במרחב צומת כניסה לעיירה. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000072,2026-09-12T21:44:13.952036Z,בלוג פוליטי,לא סווגה,false,גבוהה,ENT-LOCAL-JOURNALISTS,LOC-022,מספר פרסומים מצביעים על תנועה של עיתונאים מקומיים ליד תחנת דלק 2; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000073,2026-09-14T05:43:03.743246Z,טלגרם,לא סווגה,likely,בינונית,ENT-KSF,LOC-093,מספר פרסומים מצביעים על תנועה של KSF ליד צומת מקומי 73; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000074,2026-09-13T14:03:59.797076Z,שמועה מקומית,לא סווגה,unverified,נמוכה,ENT-UNIDENTIFIED-ACTORS,LOC-073,דיווח ממקור גלוי מתאר פעילות של גורמים לא מזוהים באזור מרכז בריאות 53 במסגרת 'שמועה על רשימת מעצרים נוספת'. נדרש אימות נוסף.
REC-V2-000075,2026-09-13T02:34:19.346485Z,בלוג פוליטי,לא סווגה,unverified,נמוכה,ENT-KOSOVO-MOI,LOC-140,מספר פרסומים מצביעים על תנועה של משרד הפנים של קוסובו ליד בית ספר 120; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000076,2026-09-12T18:42:03.009495Z,שמועה מקומית,לא סווגה,unverified,גבוהה,ENT-KOSOVO-GOV,LOC-075,מספר פרסומים מצביעים על תנועה של ממשלת קוסובו ליד ציר גישה 55; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000077,2026-09-12T15:41:40.979921Z,פייסבוק,לא סווגה,unverified,בינונית,ENT-LOCAL-RESIDENTS,LOC-094,"הודעה פומבית מתייחסת לתושבים מקומיים ולשינוי היערכות באזור תחנת דלק 74, ללא פירוט מלא."
REC-V2-000078,2026-09-12T15:10:37.023528Z,טלגרם,לא סווגה,unverified,נמוכה,ENT-KOSOVO-SPECIAL-POLICE,LOC-109,תושבים דיווחו על נוכחות יחידה מיוחדת של משטרת קוסובו במרחב מרכז בריאות 89. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000079,2026-09-12T21:44:46.725181Z,X,לא סווגה,confirmed,בינונית,ENT-AMBULANCES,LOC-113,"הודעה פומבית מתייחסת לאמבולנסים ולשינוי היערכות באזור תחנת דלק 93, ללא פירוט מלא."
REC-V2-000080,2026-09-12T22:18:41.029061Z,בלוג פוליטי,לא סווגה,false,נמוכה,ENT-KOSOVO-GOV,LOC-132,תושבים דיווחו על נוכחות ממשלת קוסובו במרחב נקודת בידוק כללית 112. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000081,2026-09-13T12:35:55.940118Z,X,לא סווגה,disputed,נמוכה,ENT-AMBULANCES,LOC-085,תושבים דיווחו על נוכחות אמבולנסים במרחב כפר סמוך 65. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000082,2026-09-13T05:42:51.013988Z,בלוג פוליטי,לא סווגה,likely,נמוכה,ENT-KSF,LOC-004,תושבים דיווחו על נוכחות KSF במרחב הכביש לצפון מיטרוביצה. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000083,2026-09-12T17:38:50.427263Z,פייסבוק,לא סווגה,likely,גבוהה,ENT-KFOR,LOC-026,דיווח ממקור גלוי מתאר פעילות של KFOR באזור נקודת בידוק כללית 6 במסגרת 'חסימות ראשונות בצירים עירוניים'. נדרש אימות נוסף.
REC-V2-000084,2026-09-12T21:28:05.942152Z,שמועה מקומית,לא סווגה,likely,בינונית,ENT-KFOR,LOC-012,דיווח ממקור גלוי מתאר פעילות של KFOR באזור אזור מיוער סמוך לכפר במסגרת 'קריאה מקומית להפגנות וחסימות'. נדרש אימות נוסף.
REC-V2-000085,2026-09-12T23:25:11.813006Z,ערוץ חדשות בינלאומי,לא סווגה,confirmed,נמוכה,ENT-AMBULANCES,LOC-072,דיווח ממקור גלוי מתאר פעילות של אמבולנסים באזור תחנת דלק 52 במסגרת 'חסימות ראשונות בצירים עירוניים'. נדרש אימות נוסף.
REC-V2-000086,2026-09-12T13:29:52.581284Z,הודעת דובר,לא סווגה,disputed,נמוכה,ENT-AMBULANCES,LOC-085,"הודעה פומבית מתייחסת לאמבולנסים ולשינוי היערכות באזור כפר סמוך 65, ללא פירוט מלא."
REC-V2-000087,2026-09-13T21:02:53.634436Z,טיקטוק,לא סווגה,likely,בינונית,ENT-AMBULANCES,LOC-106,מספר פרסומים מצביעים על תנועה של אמבולנסים ליד אזור תעשייה קטן 86; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000088,2026-09-13T16:50:19.363165Z,טלגרם,לא סווגה,unverified,בינונית,ENT-LOCAL-JOURNALISTS,LOC-005,מספר פרסומים מצביעים על תנועה של עיתונאים מקומיים ליד מרכז העיירה; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000089,2026-09-13T03:32:50.222641Z,טלגרם,לא סווגה,likely,בינונית,ENT-KOSOVO-POLICE,LOC-148,דיווח ממקור גלוי מתאר פעילות של משטרת קוסובו באזור בית ספר 128 במסגרת 'תגבור משטרת קוסובו סביב מתקנים'. נדרש אימות נוסף.
REC-V2-000090,2026-09-12T11:01:11.407137Z,שמועה מקומית,לא סווגה,unverified,גבוהה,ENT-LOCAL-JOURNALISTS,LOC-109,"הודעה פומבית מתייחסת לעיתונאים מקומיים ולשינוי היערכות באזור מרכז בריאות 89, ללא פירוט מלא."
REC-V2-000091,2026-09-13T17:07:12.707822Z,בלוג פוליטי,לא סווגה,disputed,נמוכה,ENT-LOCAL-RESIDENTS,LOC-055,דיווח ממקור גלוי מתאר פעילות של תושבים מקומיים באזור אזור תעשייה קטן 35 במסגרת 'פצועים ראשונים והפצת סרטונים חלקיים'. נדרש אימות נוסף.
REC-V2-000092,2026-09-12T16:12:25.340669Z,הודעת דובר,לא סווגה,confirmed,נמוכה,ENT-LOCAL-RESIDENTS,LOC-019,תושבים דיווחו על נוכחות תושבים מקומיים במרחב תחנת דלק מרכזית. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000093,2026-09-12T18:09:06.973727Z,פייסבוק,לא סווגה,disputed,בינונית,ENT-KSF,LOC-064,דיווח ממקור גלוי מתאר פעילות של KSF באזור נקודת בידוק כללית 44 במסגרת 'קריאה מקומית להפגנות וחסימות'. נדרש אימות נוסף.
REC-V2-000094,2026-09-12T17:12:15.313538Z,קבוצת וואטסאפ,לא סווגה,unverified,בינונית,ENT-KFOR,LOC-028,מספר פרסומים מצביעים על תנועה של KFOR ליד כפר סמוך 8; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000095,2026-09-13T17:16:55.008501Z,בלוג פוליטי,לא סווגה,unverified,בינונית,ENT-KSF,LOC-105,תושבים דיווחו על נוכחות KSF במרחב כיכר מרכזית 85. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000096,2026-09-13T22:02:35.643248Z,חדשות מקומיות,לא סווגה,likely,נמוכה,ENT-EULEX,LOC-090,"הודעה פומבית מתייחסת לEULEX ולשינוי היערכות באזור ציר גישה 70, ללא פירוט מלא."
