event_id,record_id,source_type,scenario_event_id,event_name,same_event_cluster,information_type,military_signal_type,relevance_label,source_reliability_label,claim_strength,certainty_level,is_duplicate,is_rumor,is_disinformation,is_civilian_related,is_military_related,media_claimed,media_verified,possible_misidentification,misleading_type,ground_truth_status,claimed_location,ground_truth_location,analyst_question,country,region,municipality,locality,place_name,location_precision,location_confidence
REC-033900,REC-033900,X,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-08,כוננות בצד הסרבי,כוננות בצד הסרבי,2,disputed,חלשה,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,נכון,"לפוסאביץ׳, צומת מקומי 126","לפוסאביץ׳, צומת מקומי 126",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 126,צומת מקומי 126,junction,בינונית
REC-009448,REC-009448,שמועה מקומית,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-04,תצפית על תנועת כוחות,תצפית על תנועת כוחות,2,false,בינונית,נמוכה,false,false,false,true,true,true,false,false,זמן שגוי,לא ידוע,"צפון מיטרוביצה, אזור גשר איבר","צפון מיטרוביצה, אזור גשר איבר",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,אזור גשר איבר,neighborhood,בינונית
REC-073418,REC-073418,קבוצת וואטסאפ,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-12,דיווח פיצוץ,דיווח פיצוץ,4,unverified,חלשה,נמוכה,false,false,false,false,true,true,false,false,זמן שגוי,נכון חלקית,"זבצ׳אן, מרכז בריאות 53","זבצ׳אן, מרכז בריאות 53",האם האירוע משפיע על אזרחים או על צירים?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,מרכז בריאות 53,facility,גבוהה
REC-072035,REC-072035,טיקטוק,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-12,נוכחות KFOR,נוכחות KFOR,4,disputed,בינונית,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,נכון,"זובין פוטוק, כפר סמוך 4","זובין פוטוק, כפר סמוך 4",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,כפר סמוך 4,village,גבוהה
REC-092517,REC-092517,פייסבוק,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-04,דיווח פיצוץ,דיווח פיצוץ,3,false,בינונית,נמוכה,false,true,false,true,true,false,false,false,זמן שגוי,שגוי,"צפון מיטרוביצה, ציר גישה 106","צפון מיטרוביצה, ציר גישה 106",האם יש שינוי בנוכחות KFOR?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,ציר גישה 106,road_segment,בינונית
REC-046005,REC-046005,טיקטוק,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-07,פינוי/חילוץ,פינוי/חילוץ,1,false,חלשה,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,שגוי,"זבצ׳אן, צומת מקומי 114","זבצ׳אן, צומת מקומי 114",האם נדרשת הצלבה עם מקורות נוספים?,קוסובו,צפון קוסובו,זבצ׳אן,כפר 114,צומת מקומי 114,junction,גבוהה
REC-089661,REC-089661,בלוג פוליטי,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-04,דיווח פיצוץ,דיווח פיצוץ,2,unverified,חלשה,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,לא ידוע,"זובין פוטוק, בית ספר 32","זובין פוטוק, בית ספר 32",האם האירוע משפיע על אזרחים או על צירים?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,בית ספר 32,facility,נמוכה
REC-078788,REC-078788,חדשות מקומיות,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-08,תחבורה/לוגיסטיקה אזרחית,,2,propaganda/disinformation,בינונית,נמוכה,true,false,false,true,false,true,false,false,זמן שגוי,נכון חלקית,"זובין פוטוק, כפר סמוך 4","זובין פוטוק, כפר סמוך 4",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,כפר סמוך 4,village,בינונית
REC-034060,REC-034060,הודעת דובר,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-11,רשתות חברתיות,,2,disputed,חלשה,נמוכה,false,true,false,true,false,false,false,false,זמן שגוי,נכון,"צפון מיטרוביצה, תחנת דלק 84","צפון מיטרוביצה, תחנת דלק 84",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,תחנת דלק 84,facility,בינונית
REC-054963,REC-054963,חדשות מקומיות,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-10,כוננות בצד הסרבי,כוננות בצד הסרבי,3,likely,בינונית,בינונית,false,true,true,false,true,true,false,false,זמן שגוי,נכון חלקית,"זבצ׳אן, תחנת דלק 30","זבצ׳אן, תחנת דלק 30",האם נדרשת הצלבה עם מקורות נוספים?,קוסובו,צפון קוסובו,זבצ׳אן,כפר 30,תחנת דלק 30,facility,נמוכה
REC-077068,REC-077068,בלוג פוליטי,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-11,דיווח פיצוץ,דיווח פיצוץ,2,likely,חזקה,בינונית,false,true,true,false,true,false,false,false,זמן שגוי,נכון חלקית,"זובין פוטוק, תחנת דלק 63","זובין פוטוק, תחנת דלק 63",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,תחנת דלק 63,facility,בינונית
REC-048613,REC-048613,בלוג פוליטי,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-10,דיווח רחפן/מסוק,דיווח רחפן/מסוק,2,disputed,חלשה,נמוכה,false,true,false,false,true,false,false,false,זמן שגוי,נכון,"לפוסאביץ׳, נקודת בידוק כללית 101","לפוסאביץ׳, נקודת בידוק כללית 101",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,נקודת בידוק כללית 101,checkpoint_area,גבוהה
REC-058162,REC-058162,הודעת דובר,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-10,נוכחות KFOR,נוכחות KFOR,3,propaganda/disinformation,בינונית,נמוכה,false,true,false,false,true,false,false,false,זמן שגוי,שגוי,"צפון מיטרוביצה, ציר גישה 91","צפון מיטרוביצה, ציר גישה 91",האם יש שינוי בנוכחות KFOR?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,ציר גישה 91,road_segment,גבוהה
REC-019240,REC-019240,שמועה מקומית,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-12,נוכחות KFOR,נוכחות KFOR,4,propaganda/disinformation,בינונית,נמוכה,false,true,false,false,true,false,false,false,זמן שגוי,לא ידוע,"צפון מיטרוביצה, כפר סמוך 71","צפון מיטרוביצה, כפר סמוך 71",האם נדרשת הצלבה עם מקורות נוספים?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 71,כפר סמוך 71,village,בינונית
REC-078967,REC-078967,טלגרם,EVT-006,KFOR מגביר סיורים בצפון,EVT-006-CL-07,פעילות משטרתית,פעילות משטרתית,1,propaganda/disinformation,בינונית,נמוכה,true,true,false,true,true,true,false,false,זמן שגוי,שגוי,"לפוסאביץ׳, אזור תעשייה קטן 129","לפוסאביץ׳, אזור תעשייה קטן 129",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 129,אזור תעשייה קטן 129,neighborhood,בינונית
REC-027773,REC-027773,X,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-11,דיווח ירי,דיווח ירי,3,false,בינונית,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,שגוי,"צפון מיטרוביצה, כיכר מרכזית 45","צפון מיטרוביצה, כיכר מרכזית 45",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,כיכר מרכזית 45,public_square,גבוהה
REC-031936,REC-031936,הודעת דובר,EVT-006,KFOR מגביר סיורים בצפון,EVT-006-CL-11,רשתות חברתיות,,3,false,בינונית,נמוכה,false,false,false,true,false,true,false,false,זמן שגוי,שגוי,"צפון מיטרוביצה, תחנת דלק 84","צפון מיטרוביצה, תחנת דלק 84",האם יש שינוי בנוכחות KFOR?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,תחנת דלק 84,facility,גבוהה
REC-017504,REC-017504,קבוצת וואטסאפ,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-02,ציוד/רכבים,ציוד/רכבים,2,unverified,בינונית,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,לא ידוע,"צפון מיטרוביצה, כיכר מרכזית 45","צפון מיטרוביצה, כיכר מרכזית 45",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,כיכר מרכזית 45,public_square,בינונית
REC-030928,REC-030928,בלוג פוליטי,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-04,דיווח ירי,דיווח ירי,3,false,חלשה,נמוכה,false,true,true,false,true,true,false,false,זמן שגוי,שגוי,"זובין פוטוק, אזור כפרי מערבי","זובין פוטוק, אזור כפרי מערבי",האם יש שינוי בנוכחות KFOR?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,אזור כפרי מערבי,rural_area,בינונית
REC-002351,REC-002351,טיקטוק,EVT-006,KFOR מגביר סיורים בצפון,EVT-006-CL-12,רשתות חברתיות,,3,false,חלשה,נמוכה,false,true,false,true,false,false,false,false,זמן שגוי,לא ידוע,"זבצ׳אן, נקודת בידוק כללית 61","זבצ׳אן, נקודת בידוק כללית 61",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,נקודת בידוק כללית 61,checkpoint_area,גבוהה
REC-072486,REC-072486,טיקטוק,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-09,נוכחות KFOR,נוכחות KFOR,3,unverified,חלשה,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,נכון,"זובין פוטוק, תחנת דלק 62","זובין פוטוק, תחנת דלק 62",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,זובין פוטוק,כפר 62,תחנת דלק 62,facility,בינונית
REC-089946,REC-089946,X,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-06,גורמים חמושים לא מזוהים,גורמים חמושים לא מזוהים,3,likely,בינונית,בינונית,false,false,true,false,true,false,false,false,זמן שגוי,נכון,"זובין פוטוק, תחנת דלק 119","זובין פוטוק, תחנת דלק 119",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,תחנת דלק 119,facility,בינונית
REC-038025,REC-038025,שמועה מקומית,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-03,כוננות בצד הסרבי,כוננות בצד הסרבי,3,confirmed,בינונית,גבוהה,false,false,false,true,true,false,false,false,זמן שגוי,נכון,"צפון מיטרוביצה, תחנת דלק 27","צפון מיטרוביצה, תחנת דלק 27",האם יש שינוי בנוכחות KFOR?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 27,תחנת דלק 27,facility,גבוהה
REC-099280,REC-099280,טיקטוק,EVT-006,KFOR מגביר סיורים בצפון,EVT-006-CL-12,רשתות חברתיות,,2,propaganda/disinformation,בינונית,נמוכה,false,true,false,true,false,true,false,false,זמן שגוי,שגוי,"זבצ׳אן, צומת מקומי 43","זבצ׳אן, צומת מקומי 43",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,צומת מקומי 43,junction,בינונית
REC-095287,REC-095287,הודעת דובר,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-11,מדיני/דיפלומטי,,3,propaganda/disinformation,חלשה,נמוכה,false,false,false,false,false,false,false,false,זמן שגוי,לא ידוע,"טירנה, משרד ההגנה האלבני","טירנה, משרד ההגנה האלבני",האם נדרשת הצלבה עם מקורות נוספים?,אלבניה,טירנה,טירנה,טירנה,משרד ההגנה האלבני,facility,גבוהה
REC-062111,REC-062111,ערוץ חדשות בינלאומי,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-09,נוכחות KFOR,נוכחות KFOR,3,unverified,חלשה,נמוכה,false,true,true,false,true,false,true,false,זמן שגוי,נכון חלקית,"זבצ׳אן, נקודת בידוק כללית 68","זבצ׳אן, נקודת בידוק כללית 68",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,נקודת בידוק כללית 68,checkpoint_area,גבוהה
REC-003548,REC-003548,חדשות מקומיות,EVT-005,תגבור משטרת קוסובו סביב מתקנים,EVT-005-CL-06,דיווח רחפן/מסוק,דיווח רחפן/מסוק,2,false,בינונית,נמוכה,false,true,false,false,true,false,false,false,זמן שגוי,שגוי,"צפון מיטרוביצה, נקודת בידוק כללית 3","צפון מיטרוביצה, נקודת בידוק כללית 3",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,נקודת בידוק כללית 3,checkpoint_area,גבוהה
REC-033147,REC-033147,בלוג פוליטי,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-09,תחבורה/לוגיסטיקה אזרחית,,3,false,בינונית,נמוכה,false,false,false,true,false,true,false,false,זמן שגוי,שגוי,"צפון מיטרוביצה, נקודת בידוק כללית 6","צפון מיטרוביצה, נקודת בידוק כללית 6",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,נקודת בידוק כללית 6,checkpoint_area,גבוהה
REC-081651,REC-081651,X,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-08,פינוי/חילוץ,פינוי/חילוץ,4,propaganda/disinformation,בינונית,נמוכה,false,false,false,true,true,false,false,false,זמן שגוי,שגוי,"לפוסאביץ׳, נקודת בידוק כללית 24","לפוסאביץ׳, נקודת בידוק כללית 24",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,נקודת בידוק כללית 24,checkpoint_area,נמוכה
REC-076077,REC-076077,קבוצת וואטסאפ,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-11,דיווח רחפן/מסוק,דיווח רחפן/מסוק,3,unverified,בינונית,נמוכה,true,true,true,false,true,false,true,false,זמן שגוי,שגוי,"זבצ׳אן, מרכז בריאות 117","זבצ׳אן, מרכז בריאות 117",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,מרכז בריאות 117,facility,בינונית
REC-072518,REC-072518,טיקטוק,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-07,רפואי/חירום,,1,likely,חלשה,בינונית,false,false,false,true,false,false,false,false,זמן שגוי,נכון חלקית,"זבצ׳אן, נקודת בידוק כללית 33","זבצ׳אן, נקודת בידוק כללית 33",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,נקודת בידוק כללית 33,checkpoint_area,בינונית
REC-081006,REC-081006,טיקטוק,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-04,דיווח ירי,דיווח ירי,2,unverified,בינונית,נמוכה,false,true,true,false,true,true,false,false,זמן שגוי,נכון,"זובין פוטוק, הדרך לאגם גזיבודה","זובין פוטוק, הדרך לאגם גזיבודה",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,הדרך לאגם גזיבודה,road_segment,בינונית
REC-036028,REC-036028,הודעת דובר,EVT-007,עימות ליד מבנה עירייה,EVT-007-CL-06,חדשות/תקשורת,,4,likely,חזקה,בינונית,false,false,false,false,false,false,false,false,זמן שגוי,שגוי,"זבצ׳אן, מרכז בריאות 21","זבצ׳אן, מרכז בריאות 21",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,זבצ׳אן,כפר 21,מרכז בריאות 21,facility,נמוכה
REC-095786,REC-095786,ערוץ חדשות בינלאומי,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-09,כוננות בצד הסרבי,כוננות בצד הסרבי,4,propaganda/disinformation,חלשה,נמוכה,false,false,false,false,true,false,false,false,זמן שגוי,לא ידוע,"זובין פוטוק, אזור כפרי מערבי","זובין פוטוק, אזור כפרי מערבי",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,אזור כפרי מערבי,rural_area,בינונית
REC-032132,REC-032132,הודעת דובר,EVT-009,שמועה על רשימת מעצרים נוספת,EVT-009-CL-03,תצפית על תנועת כוחות,תצפית על תנועת כוחות,1,unverified,בינונית,נמוכה,false,false,true,false,true,false,false,false,זמן שגוי,נכון חלקית,"לפוסאביץ׳, כפר סמוך 103","לפוסאביץ׳, כפר סמוך 103",האם האירוע משפיע על אזרחים או על צירים?,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,כפר סמוך 103,village,גבוהה
REC-085407,REC-085407,טלגרם,EVT-008,פצועים ראשונים והפצת סרטונים חלקיים,EVT-008-CL-02,רשתות חברתיות,,1,false,בינונית,נמוכה,false,true,false,true,false,false,false,false,זמן שגוי,שגוי,"צפון מיטרוביצה, ציר גישה 72","צפון מיטרוביצה, ציר גישה 72",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 72,ציר גישה 72,road_segment,נמוכה
REC-037986,REC-037986,קבוצת וואטסאפ,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-01,פינוי/חילוץ,פינוי/חילוץ,3,unverified,חלשה,נמוכה,false,true,true,false,true,true,false,false,זמן שגוי,שגוי,"לפוסאביץ׳, נקודת בידוק כללית 101","לפוסאביץ׳, נקודת בידוק כללית 101",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,נקודת בידוק כללית 101,checkpoint_area,גבוהה
REC-040142,REC-040142,טיקטוק,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-01,פינוי/חילוץ,פינוי/חילוץ,3,unverified,חלשה,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,נכון חלקית,"לפוסאביץ׳, תחנת דלק 47","לפוסאביץ׳, תחנת דלק 47",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,תחנת דלק 47,facility,בינונית
REC-049012,REC-049012,בלוג פוליטי,EVT-007,עימות ליד מבנה עירייה,EVT-007-CL-06,דיווח רחפן/מסוק,דיווח רחפן/מסוק,5,false,בינונית,נמוכה,false,false,false,false,true,false,false,false,זמן שגוי,שגוי,"זבצ׳אן, צומת מקומי 73","זבצ׳אן, צומת מקומי 73",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,צומת מקומי 73,junction,גבוהה
REC-057432,REC-057432,קבוצת וואטסאפ,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-10,כלכלי/חברתי,,3,propaganda/disinformation,חלשה,נמוכה,false,false,false,true,false,true,false,false,זמן שגוי,שגוי,"זבצ׳אן, תחנת דלק 121","זבצ׳אן, תחנת דלק 121",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,תחנת דלק 121,facility,נמוכה
REC-092250,REC-092250,X,EVT-008,פצועים ראשונים והפצת סרטונים חלקיים,EVT-008-CL-04,דיווח ירי,דיווח ירי,3,unverified,בינונית,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,נכון,"זובין פוטוק, תחנת דלק 62","זובין פוטוק, תחנת דלק 62",האם האירוע משפיע על אזרחים או על צירים?,קוסובו,צפון קוסובו,זובין פוטוק,כפר 62,תחנת דלק 62,facility,נמוכה
REC-003099,REC-003099,טיקטוק,EVT-009,שמועה על רשימת מעצרים נוספת,EVT-009-CL-11,נוכחות KFOR,נוכחות KFOR,3,disputed,חלשה,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,נכון,"צפון מיטרוביצה, אזור תעשייה קטן 86","צפון מיטרוביצה, אזור תעשייה קטן 86",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 86,אזור תעשייה קטן 86,neighborhood,בינונית
REC-000128,REC-000128,פייסבוק,EVT-009,שמועה על רשימת מעצרים נוספת,EVT-009-CL-02,גורמים חמושים לא מזוהים,גורמים חמושים לא מזוהים,3,propaganda/disinformation,בינונית,נמוכה,false,false,true,false,true,false,false,false,זמן שגוי,שגוי,"זבצ׳אן, תחנת דלק 111","זבצ׳אן, תחנת דלק 111",האם מדובר באירוע אמיתי או רעש?,קוסובו,צפון קוסובו,זבצ׳אן,כפר 111,תחנת דלק 111,facility,בינונית
REC-070170,REC-070170,טלגרם,EVT-009,שמועה על רשימת מעצרים נוספת,EVT-009-CL-04,גורמים חמושים לא מזוהים,גורמים חמושים לא מזוהים,2,likely,בינונית,בינונית,false,true,true,false,true,true,false,false,זמן שגוי,לא ידוע,"זבצ׳אן, נקודת בידוק כללית 33","זבצ׳אן, נקודת בידוק כללית 33",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,נקודת בידוק כללית 33,checkpoint_area,בינונית
REC-012432,REC-012432,טלגרם,EVT-009,שמועה על רשימת מעצרים נוספת,EVT-009-CL-09,גורמים חמושים לא מזוהים,גורמים חמושים לא מזוהים,1,propaganda/disinformation,בינונית,נמוכה,true,true,true,false,true,false,false,false,זמן שגוי,לא ידוע,"לפוסאביץ׳, ציר גישה 18","לפוסאביץ׳, ציר גישה 18",האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 18,ציר גישה 18,road_segment,בינונית
