event_id,timestamp_utc,source_type,source_reliability,source_reliability_label,certainty_level,entity_or_actor,location_id,event_summary
REC-046005,2026-09-12T14:32:00Z,טיקטוק,לא סווגה,false,נמוכה,גורמים לא מזוהים,LOC-134,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה."
REC-089661,2026-09-12T14:40:00Z,בלוג פוליטי,לא סווגה,unverified,נמוכה,עיתונאים מקומיים,LOC-052,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה."
REC-078788,2026-09-12T14:47:00Z,חדשות מקומיות,לא סווגה,propaganda/disinformation,נמוכה,עיתונאים מקומיים,LOC-024,נמסר על תאונת דרכים קלה באזור כפר סמוך 4; חלק מהגולשים קשרו זאת בטעות לאירועים הביטחוניים.
REC-034060,2026-09-12T15:01:00Z,הודעת דובר,לא סווגה,disputed,נמוכה,אמבולנסים,LOC-104,אנשים מתאספים שוב ליד תחנת דלק 84. חלק אומרים שהכביש ייסגר בשעה הקרובה. אין תיעוד חזותי שמאפשר לאמת את הפרטים.
REC-054963,2026-09-12T15:17:00Z,חדשות מקומיות,לא סווגה,likely,בינונית,קבוצה חמושה מקומית,LOC-050,מקור מפלגתי טוען שהאירוע הוא מתקפה מתוכננת מראש. אין ראיות עצמאיות שמאשרות את הטענה. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.
REC-077068,2026-09-12T16:26:00Z,בלוג פוליטי,לא סווגה,likely,בינונית,עיתונאים מקומיים,LOC-083,חשבון לא מזוהה טוען שעיתונאים מקומיים נערכים למבצע רחב. הניסוח דומה לפוסטים קודמים מחשבונות בוט.
REC-048613,2026-09-12T17:02:00Z,בלוג פוליטי,לא סווגה,disputed,נמוכה,משטרת קוסובו,LOC-121,חשבון מקומי מדווח שמשטרת קוסובו הגבירו סיורים באזור נקודת בידוק כללית 101. תושבים מתבקשים להימנע מהגעה למוקדי חיכוך.
REC-058162,2026-09-12T17:38:00Z,הודעת דובר,לא סווגה,propaganda/disinformation,נמוכה,משטרת קוסובו,LOC-111,כמה מקורות מקומיים טוענים שנשמע פיצוץ ליד ציר גישה 91. מקור אחר טוען שמדובר בזיקוקים או תקלה אזרחית.
REC-019240,2026-09-12T17:58:00Z,שמועה מקומית,לא סווגה,propaganda/disinformation,נמוכה,ממשלת סרביה,LOC-091,תושבים מדווחים על נוכחות מוגברת של ממשלת סרביה ליד כפר סמוך 71. אין אישור רשמי לפרטים.
REC-078967,2026-09-12T18:00:00Z,טלגרם,לא סווגה,propaganda/disinformation,נמוכה,יחידה מיוחדת של משטרת קוסובו,LOC-149,ראיתי כמה רכבים עם אורות כחולים בדרך לאזור תעשייה קטן 129. לא ברור אם זה משטרה או אמבולנס.
REC-027773,2026-09-12T18:08:00Z,X,לא סווגה,false,נמוכה,KFOR,LOC-065,"סרטון שמופץ ברשת מוצג כאילו צולם באזור כיכר מרכזית 45, אך יש טענות שהוא ישן ואינו קשור לאירועים הנוכחיים."
REC-031936,2026-09-12T18:22:00Z,הודעת דובר,לא סווגה,false,נמוכה,ממשלת קוסובו,LOC-104,המשפחה שלי החליטה לא לשלוח את הילדים לבית הספר מחר בגלל המצב. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.
REC-017504,2026-09-12T19:28:00Z,קבוצת וואטסאפ,לא סווגה,unverified,נמוכה,משרד הפנים של קוסובו,LOC-065,שמועה בקבוצות מקומיות טוענת שיש רשימת מעצרים חדשה. אין מקור רשמי שמאשר זאת. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם. הדיווח מופיע בכמה חשבונות עם ניסוח כמעט זהה.
REC-030928,2026-09-12T19:34:00Z,בלוג פוליטי,לא סווגה,false,נמוכה,יחידה מיוחדת של משטרת קוסובו,LOC-007,"דיווח דרמטי טוען שכוחות גדולים חצו את הגבול הלילה. נכון לעכשיו אין לכך אימות, ומקורות אחרים מכחישים."
REC-002351,2026-09-12T20:30:00Z,טיקטוק,לא סווגה,false,נמוכה,תושבים מקומיים,LOC-081,"שמעתי רעש חזק לפני כמה דקות באזור נקודת בידוק כללית 61. אולי זה לא קשור, אבל כולם מדברים על זה."
REC-072486,2026-09-12T21:22:00Z,טיקטוק,לא סווגה,unverified,נמוכה,קבוצה חמושה מקומית,LOC-082,"סרטון שמופץ ברשת מוצג כאילו צולם באזור תחנת דלק 62, אך יש טענות שהוא ישן ואינו קשור לאירועים הנוכחיים. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם."
REC-089946,2026-09-12T21:23:00Z,X,לא סווגה,likely,בינונית,גורמים לא מזוהים,LOC-139,חשבון לא מזוהה טוען שגורמים לא מזוהים נערכים למבצע רחב. הניסוח דומה לפוסטים קודמים מחשבונות בוט.
REC-038025,2026-09-12T22:41:00Z,שמועה מקומית,לא סווגה,confirmed,גבוהה,KFOR,LOC-047,יש דיווחים על הפסקת חשמל קצרה באזור תחנת דלק 27. לא ברור אם מדובר בתקלה רגילה.
REC-099280,2026-09-12T22:49:00Z,טיקטוק,לא סווגה,propaganda/disinformation,נמוכה,גורמים לא מזוהים,LOC-063,ראיתי כמה רכבים עם אורות כחולים בדרך לצומת מקומי 43. לא ברור אם זה משטרה או אמבולנס.
REC-095287,2026-09-12T23:06:00Z,הודעת דובר,לא סווגה,propaganda/disinformation,נמוכה,ממשלת קוסובו,LOC-151,נציגים בינלאומיים קוראים להפחתת מתיחות ולחזרה לדיאלוג.
REC-062111,2026-09-12T23:25:00Z,ערוץ חדשות בינלאומי,לא סווגה,unverified,נמוכה,תושבים מקומיים,LOC-088,"פוסט ויראלי מייחס ירי לתושבים מקומיים, אך סרטונים אחרים מאותו אזור מצביעים על רעש אזרחי בלבד."
REC-003548,2026-09-12T23:32:00Z,חדשות מקומיות,לא סווגה,false,נמוכה,תושבים מקומיים,LOC-023,כמה מקורות מקומיים טוענים שנשמע פיצוץ ליד נקודת בידוק כללית 3. מקור אחר טוען שמדובר בזיקוקים או תקלה אזרחית. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.
REC-033147,2026-09-13T00:19:00Z,בלוג פוליטי,לא סווגה,false,נמוכה,אמבולנסים,LOC-026,נמסר על תאונת דרכים קלה באזור נקודת בידוק כללית 6; חלק מהגולשים קשרו זאת בטעות לאירועים הביטחוניים. אין תיעוד חזותי שמאפשר לאמת את הפרטים.
REC-081651,2026-09-13T00:48:00Z,X,לא סווגה,propaganda/disinformation,נמוכה,KFOR,LOC-044,העירייה המקומית מבקשת מהתושבים להימנע מהתקהלויות גדולות.
REC-076077,2026-09-13T01:02:00Z,קבוצת וואטסאפ,לא סווגה,unverified,נמוכה,ממשלת קוסובו,LOC-137,"פוסט ויראלי מייחס ירי לממשלת קוסובו, אך סרטונים אחרים מאותו אזור מצביעים על רעש אזרחי בלבד. הדיווח מופיע בכמה חשבונות עם ניסוח כמעט זהה."
REC-072518,2026-09-13T01:29:00Z,טיקטוק,לא סווגה,likely,בינונית,משרד הפנים של קוסובו,LOC-053,"תושב מדווח שאמבולנס עבר במהירות לכיוון נקודת בידוק כללית 33, אך לא ברור אם זה קשור לעימות."
REC-081006,2026-09-13T01:56:00Z,טיקטוק,לא סווגה,unverified,נמוכה,מפגינים סרבים מקומיים,LOC-008,"פוסט ויראלי מייחס ירי למפגינים סרבים מקומיים, אך סרטונים אחרים מאותו אזור מצביעים על רעש אזרחי בלבד."
REC-036028,2026-09-13T03:19:00Z,הודעת דובר,לא סווגה,likely,בינונית,משרד הפנים של קוסובו,LOC-041,"ערוץ סרבי מדגיש את מצוקת התושבים הסרבים באזור, בעוד ערוץ קוסוברי מדגיש את הצורך באכיפת חוק. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם."
REC-095786,2026-09-13T03:52:00Z,ערוץ חדשות בינלאומי,לא סווגה,propaganda/disinformation,נמוכה,KFOR,LOC-007,כמה מקורות מקומיים טוענים שנשמע פיצוץ ליד אזור כפרי מערבי. מקור אחר טוען שמדובר בזיקוקים או תקלה אזרחית.
REC-032132,2026-09-13T04:09:00Z,הודעת דובר,לא סווגה,unverified,נמוכה,אמבולנסים,LOC-123,שמועה בקבוצות מקומיות טוענת שיש רשימת מעצרים חדשה. אין מקור רשמי שמאשר זאת. אין תיעוד חזותי שמאפשר לאמת את הפרטים.
REC-085407,2026-09-13T04:21:00Z,טלגרם,לא סווגה,false,נמוכה,EULEX,LOC-092,אנשים מתאספים שוב ליד ציר גישה 72. חלק אומרים שהכביש ייסגר בשעה הקרובה.
REC-037986,2026-09-13T04:33:00Z,קבוצת וואטסאפ,לא סווגה,unverified,נמוכה,יחידה מיוחדת של משטרת קוסובו,LOC-121,דיווח באנגלית טוען למאות חמושים באזור נקודת בידוק כללית 101; דיווחים מקומיים מדברים על מספר קטן בהרבה או על אי־ודאות.
REC-040142,2026-09-13T06:02:00Z,טיקטוק,לא סווגה,unverified,נמוכה,KFOR,LOC-067,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם."
REC-049012,2026-09-13T06:07:00Z,בלוג פוליטי,לא סווגה,false,נמוכה,משרד הפנים של קוסובו,LOC-093,דיווח לא מאומת על משרד הפנים של קוסובו באזור צומת מקומי 73. מספר תושבים טוענים שנראו רכבים נעים בציר סמוך.
REC-057432,2026-09-13T06:44:00Z,קבוצת וואטסאפ,לא סווגה,propaganda/disinformation,נמוכה,עיתונאים מקומיים,LOC-141,חנות מקומית באזור תחנת דלק 121 נסגרה מוקדם בגלל חשש מהתחדשות המחאות.
REC-092250,2026-09-13T07:05:00Z,X,לא סווגה,unverified,נמוכה,גורמים לא מזוהים,LOC-082,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם."
REC-003099,2026-09-13T07:18:00Z,טיקטוק,לא סווגה,disputed,נמוכה,מנהיגים מקומיים סרבים,LOC-106,שמועה בקבוצות מקומיות טוענת שיש רשימת מעצרים חדשה. אין מקור רשמי שמאשר זאת. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם. אין תיעוד חזותי שמאפשר לאמת את הפרטים.
REC-000128,2026-09-13T08:08:00Z,פייסבוק,לא סווגה,propaganda/disinformation,נמוכה,KSF,LOC-131,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם."
REC-070170,2026-09-13T09:41:00Z,טלגרם,לא סווגה,likely,בינונית,ממשלת סרביה,LOC-053,דיווח באנגלית טוען למאות חמושים באזור נקודת בידוק כללית 33; דיווחים מקומיים מדברים על מספר קטן בהרבה או על אי־ודאות. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.
REC-012432,2026-09-13T09:44:00Z,טלגרם,לא סווגה,propaganda/disinformation,נמוכה,אמבולנסים,LOC-038,שמועה בקבוצות מקומיות טוענת שיש רשימת מעצרים חדשה. אין מקור רשמי שמאשר זאת.
REC-020307,2026-09-13T10:24:00Z,פייסבוק,לא סווגה,false,נמוכה,מנהיגים מקומיים סרבים,LOC-054,"דיווח על כלי טיס בלתי מזוהה מעל אזור ציר גישה 34. אין אישור אם מדובר ברחפן, מסוק או רעש אזרחי. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם."
REC-032682,2026-09-13T10:33:00Z,שמועה מקומית,לא סווגה,false,נמוכה,יחידה מיוחדת של משטרת קוסובו,LOC-136,מישהו יודע אם בטוח לעבור דרך אזור תעשייה קטן 116? שמעתי שיש שם מחסום חדש. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.
REC-040613,2026-09-13T10:41:00Z,טלגרם,לא סווגה,confirmed,גבוהה,מפגינים סרבים מקומיים,LOC-097,"פוסט ויראלי מייחס ירי למפגינים סרבים מקומיים, אך סרטונים אחרים מאותו אזור מצביעים על רעש אזרחי בלבד."
REC-064672,2026-09-13T11:00:00Z,X,לא סווגה,likely,בינונית,עיתונאים מקומיים,LOC-046,"סרטון שמופץ ברשת מוצג כאילו צולם באזור בית ספר 26, אך יש טענות שהוא ישן ואינו קשור לאירועים הנוכחיים."
REC-058160,2026-09-13T11:11:00Z,חדשות מקומיות,לא סווגה,propaganda/disinformation,נמוכה,עיתונאים מקומיים,LOC-126,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה."
REC-047572,2026-09-13T12:24:00Z,קבוצת וואטסאפ,לא סווגה,confirmed,גבוהה,תושבים מקומיים,LOC-093,הסרטון שמופץ עכשיו לא נראה מהיום. שימו לב לפני שמשתפים.
REC-044036,2026-09-13T12:58:00Z,ערוץ חדשות בינלאומי,לא סווגה,propaganda/disinformation,נמוכה,KFOR,LOC-006,דיווח על תנועה חריגה של רכבים ביטחוניים באזור הציר לכיוון סרביה. מקור מקומי טוען שהכביש נחסם לזמן קצר. אין תיעוד חזותי שמאפשר לאמת את הפרטים.
REC-076628,2026-09-13T13:35:00Z,טיקטוק,לא סווגה,likely,בינונית,ממשלת סרביה,LOC-006,"פוסט ויראלי מייחס ירי לממשלת סרביה, אך סרטונים אחרים מאותו אזור מצביעים על רעש אזרחי בלבד. אין תיעוד חזותי שמאפשר לאמת את הפרטים."
REC-059064,2026-09-13T15:38:00Z,פייסבוק,לא סווגה,propaganda/disinformation,נמוכה,מפגינים סרבים מקומיים,LOC-085,כמה מקורות מקומיים טוענים שנשמע פיצוץ ליד כפר סמוך 65. מקור אחר טוען שמדובר בזיקוקים או תקלה אזרחית.
REC-003532,2026-09-13T17:19:00Z,בלוג פוליטי,לא סווגה,unverified,נמוכה,תושבים מקומיים,LOC-066,מקור מפלגתי טוען שהאירוע הוא מתקפה מתוכננת מראש. אין ראיות עצמאיות שמאשרות את הטענה.
REC-053009,2026-09-13T17:48:00Z,שמועה מקומית,לא סווגה,disputed,נמוכה,ממשלת קוסובו,LOC-058,"דיווח דרמטי טוען שכוחות גדולים חצו את הגבול הלילה. נכון לעכשיו אין לכך אימות, ומקורות אחרים מכחישים."
REC-023906,2026-09-13T19:10:00Z,בלוג פוליטי,לא סווגה,unverified,נמוכה,משרד הפנים של קוסובו,LOC-139,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה. אין תיעוד חזותי שמאפשר לאמת את הפרטים."
REC-071177,2026-09-13T19:27:00Z,פייסבוק,לא סווגה,disputed,נמוכה,KFOR,LOC-108,נראה מחסום זמני ליד תחנת דלק 88. לא ברור אם הוצב על ידי KFOR או על ידי גורמים מקומיים.
REC-070415,2026-09-13T20:21:00Z,בלוג פוליטי,לא סווגה,disputed,נמוכה,KFOR,LOC-032,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה."
REC-055886,2026-09-13T21:27:00Z,פייסבוק,לא סווגה,disputed,נמוכה,מנהיגים מקומיים סרבים,LOC-038,"פוסט ויראלי מייחס ירי למנהיגים מקומיים סרבים, אך סרטונים אחרים מאותו אזור מצביעים על רעש אזרחי בלבד. אין תיעוד חזותי שמאפשר לאמת את הפרטים."
REC-072956,2026-09-13T22:01:00Z,טיקטוק,לא סווגה,disputed,נמוכה,גורמים לא מזוהים,LOC-137,הסרטון שמופץ עכשיו לא נראה מהיום. שימו לב לפני שמשתפים.
REC-092616,2026-09-13T23:32:00Z,שמועה מקומית,לא סווגה,propaganda/disinformation,נמוכה,משטרת קוסובו,LOC-100,"דיווח דרמטי טוען שכוחות גדולים חצו את הגבול הלילה. נכון לעכשיו אין לכך אימות, ומקורות אחרים מכחישים. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם."
REC-014523,2026-09-14T02:42:00Z,X,לא סווגה,unverified,נמוכה,יחידה מיוחדת של משטרת קוסובו,LOC-056,חשבון מקומי מדווח שיחידה מיוחדת של משטרת קוסובו הגבירו סיורים באזור אזור תעשייה קטן 36. תושבים מתבקשים להימנע מהגעה למוקדי חיכוך.
REC-008718,2026-09-14T03:36:00Z,חדשות מקומיות,לא סווגה,propaganda/disinformation,נמוכה,תושבים מקומיים,LOC-127,דיווח על חסימה אזרחית בציר המוביל לנקודת בידוק כללית 107. כלי רכב מופנים לדרך חלופית. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם. הדיווח מופיע בכמה חשבונות עם ניסוח כמעט זהה.
REC-045582,2026-09-14T03:38:00Z,חדשות מקומיות,לא סווגה,unverified,נמוכה,יחידה מיוחדת של משטרת קוסובו,LOC-087,דיווח באנגלית טוען למאות חמושים באזור ציר גישה 67; דיווחים מקומיים מדברים על מספר קטן בהרבה או על אי־ודאות. הדיווח מופיע בכמה חשבונות עם ניסוח כמעט זהה.
REC-089426,2026-09-14T04:00:00Z,חדשות מקומיות,לא סווגה,disputed,נמוכה,KFOR,LOC-099,תושבים מתלוננים שהמצב הביטחוני פוגע בשגרה יותר מהאירוע עצמו. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.
REC-095513,2026-09-14T04:04:00Z,טלגרם,לא סווגה,likely,בינונית,אמבולנסים,LOC-133,יש תור ארוך בתחנת הדלק ליד כיכר מרכזית 113. אנשים קונים יותר מהרגיל.
REC-027385,2026-09-14T04:05:00Z,בלוג פוליטי,לא סווגה,confirmed,גבוהה,KSF,LOC-009,בקבוצות המקומיות מדברים על עוד הפגנה הערב ליד תחנת משטרה אזורית. האווירה מתוחה.
REC-092094,2026-09-14T04:07:00Z,הודעת דובר,לא סווגה,likely,בינונית,עיתונאים מקומיים,LOC-014,הודעה רשמית מדגישה שאין שינוי במנדט KFOR באזור.
REC-020217,2026-09-14T04:08:00Z,קבוצת וואטסאפ,לא סווגה,disputed,נמוכה,יחידה מיוחדת של משטרת קוסובו,LOC-072,"נשמעו קולות שנשמעו כמו ירי באזור תחנת דלק 52. חלק מהדיווחים מייחסים זאת ליחידה מיוחדת של משטרת קוסובו, אך המידע לא אומת."
REC-082510,2026-09-14T04:09:00Z,שמועה מקומית,לא סווגה,unverified,נמוכה,גורמים לא מזוהים,LOC-100,"דיווח על כלי טיס בלתי מזוהה מעל אזור בית ספר 80. אין אישור אם מדובר ברחפן, מסוק או רעש אזרחי."
REC-071592,2026-09-14T04:12:00Z,טיקטוק,לא סווגה,disputed,נמוכה,תושבים מקומיים,LOC-045,"סרטון שמופץ ברשת מוצג כאילו צולם באזור כפר סמוך 25, אך יש טענות שהוא ישן ואינו קשור לאירועים הנוכחיים. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם."
REC-022036,2026-09-14T04:13:00Z,פייסבוק,לא סווגה,false,נמוכה,ממשלת קוסובו,LOC-101,העירייה המקומית מבקשת מהתושבים להימנע מהתקהלויות גדולות.
REC-029855,2026-09-14T04:13:00Z,חדשות מקומיות,לא סווגה,disputed,נמוכה,ממשלת סרביה,LOC-114,יש דיווחים על הפסקת חשמל קצרה באזור אזור מיוער 94. לא ברור אם מדובר בתקלה רגילה.
REC-074326,2026-09-14T04:13:00Z,X,לא סווגה,likely,בינונית,ממשלת קוסובו,LOC-124,שוק מקומי פעל חלקית בלבד בגלל היעדר ספקים.
REC-098864,2026-09-14T04:13:00Z,חדשות מקומיות,לא סווגה,disputed,נמוכה,משטרת קוסובו,LOC-115,חנות מקומית באזור כיכר מרכזית 95 נסגרה מוקדם בגלל חשש מהתחדשות המחאות. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.
REC-045599,2026-09-14T04:14:00Z,פייסבוק,לא סווגה,unverified,נמוכה,EULEX,LOC-097,הסרטון שמופץ עכשיו לא נראה מהיום. שימו לב לפני שמשתפים.
REC-080635,2026-09-14T04:14:00Z,חדשות מקומיות,לא סווגה,likely,בינונית,ממשלת סרביה,LOC-069,דיווח על תנועה חריגה של רכבים ביטחוניים באזור נקודת בידוק כללית 49. מקור מקומי טוען שהכביש נחסם לזמן קצר.
REC-052295,2026-09-14T04:16:00Z,קבוצת וואטסאפ,לא סווגה,likely,בינונית,KSF,LOC-037,בקבוצות המקומיות מדברים על עוד הפגנה הערב ליד כפר סמוך 17. האווירה מתוחה.
REC-054826,2026-09-14T04:16:00Z,חדשות מקומיות,לא סווגה,confirmed,גבוהה,ממשלת סרביה,LOC-116,חנות מקומית באזור נקודת בידוק כללית 96 נסגרה מוקדם בגלל חשש מהתחדשות המחאות.
REC-038292,2026-09-14T04:17:00Z,קבוצת וואטסאפ,לא סווגה,unverified,נמוכה,קבוצה חמושה מקומית,LOC-051,תושבים מדווחים על נוכחות מוגברת של קבוצה חמושה מקומית ליד כיכר מרכזית 31. אין אישור רשמי לפרטים. אין תיעוד חזותי שמאפשר לאמת את הפרטים.
REC-010437,2026-09-14T04:18:00Z,הודעת דובר,לא סווגה,unverified,נמוכה,מנהיגים מקומיים סרבים,LOC-142,יש דיווחים על הפסקת חשמל קצרה באזור אזור תעשייה קטן 122. לא ברור אם מדובר בתקלה רגילה. אין תיעוד חזותי שמאפשר לאמת את הפרטים.
REC-029328,2026-09-14T04:18:00Z,חדשות מקומיות,לא סווגה,likely,בינונית,משטרת קוסובו,LOC-066,תושבים מדווחים על נוכחות מוגברת של משטרת קוסובו ליד ציר גישה 46. אין אישור רשמי לפרטים.
REC-035026,2026-09-14T04:19:00Z,X,לא סווגה,unverified,נמוכה,תושבים מקומיים,LOC-066,בקבוצות המקומיות מדברים על עוד הפגנה הערב ליד ציר גישה 46. האווירה מתוחה.
REC-043165,2026-09-14T04:19:00Z,קבוצת וואטסאפ,לא סווגה,unverified,נמוכה,יחידה מיוחדת של משטרת קוסובו,LOC-064,"הכביש באזור נקודת בידוק כללית 44 פתוח לסירוגין, עם עיכובים משמעותיים."
REC-022327,2026-09-14T04:23:00Z,חדשות מקומיות,לא סווגה,unverified,נמוכה,ממשלת סרביה,LOC-036,אנשים מתאספים שוב ליד כיכר מרכזית 16. חלק אומרים שהכביש ייסגר בשעה הקרובה. אין תיעוד חזותי שמאפשר לאמת את הפרטים.
REC-058871,2026-09-14T04:23:00Z,ערוץ חדשות בינלאומי,לא סווגה,likely,בינונית,תושבים מקומיים,LOC-048,יש תור ארוך בתחנת הדלק ליד תחנת דלק 28. אנשים קונים יותר מהרגיל. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם. אין תיעוד חזותי שמאפשר לאמת את הפרטים.
REC-033408,2026-09-14T04:30:00Z,חדשות מקומיות,לא סווגה,disputed,נמוכה,משרד הפנים של קוסובו,LOC-097,דיווח לא מאומת על משרד הפנים של קוסובו באזור מרכז בריאות 77. מספר תושבים טוענים שנראו רכבים נעים בציר סמוך.
REC-062637,2026-09-14T04:30:00Z,פייסבוק,לא סווגה,unverified,נמוכה,ממשלת סרביה,LOC-139,"דיווח על כלי טיס בלתי מזוהה מעל אזור תחנת דלק 119. אין אישור אם מדובר ברחפן, מסוק או רעש אזרחי. אין תיעוד חזותי שמאפשר לאמת את הפרטים."
REC-087662,2026-09-14T04:30:00Z,בלוג פוליטי,לא סווגה,disputed,נמוכה,KFOR,LOC-023,העירייה המקומית מבקשת מהתושבים להימנע מהתקהלויות גדולות.
REC-016112,2026-09-14T04:31:00Z,טיקטוק,לא סווגה,unverified,נמוכה,גורמים לא מזוהים,LOC-110,המשפחה שלי החליטה לא לשלוח את הילדים לבית הספר מחר בגלל המצב.
