event_id,timestamp_utc,source_type,source_reliability,entity_or_actor,location_id,event_summary
CUST-0550,2026-05-14T09:34:00Z,רשומת מכס,נמוכה,יחידת תיאום מכס חיפה,L-206,רישום מנהלי שגרתי עבור יחידת תיאום מכס חיפה; ללא דפוס המשך ברור.
MOVE-0446,2026-05-14T09:41:00Z,חיישן תנועה,בינונית,קואופרטיב דלק העמק,L-208,עדכון תפעולי רגיל של קואופרטיב דלק העמק; המסמכים תואמים.
TEL-0216,2026-05-14T09:42:00Z,מטא-דאטה טלפוני,גבוהה,כרמל ציוד חקלאי,L-208,שרשרת תמימה BN-002: שיחת תיאום קצרה על חלון פריקה של AG-5001; פעילות לוגיסטית רגילה.
CAM-0477,2026-05-14T09:46:00Z,מצלמת דרך,גבוהה,משרד סיוע מרחב,L-209,עומס מקומי באזור מסוף דלק צמח; אין קשר ידוע לאירוע הגבול.
SOC-0226,2026-05-14T09:50:00Z,רשתות חברתיות,גבוהה,צפון משלוחים,L-207,שרשרת תמימה BN-001: דיווח מקומי על הגעת צינורות השקיה לאתר היעד; פעילות אזרחית.
MOVE-0417,2026-05-14T09:51:00Z,חיישן תנועה,גבוהה,לא ידוע,L-207,דיווח רקע על פעילות יומית באזור אזור התעשייה בית שאן; ללא חריגה.
PORT-0320,2026-05-14T09:57:00Z,רשומת נמל,נמוכה,יחידת תיאום מכס חיפה,L-204,עומס מקומי באזור צומת גולני; אין קשר ידוע לאירוע הגבול.
SOC-0320,2026-05-14T10:04:00Z,רשתות חברתיות,גבוהה,משרד סיוע מרחב,L-207,רישום מנהלי שגרתי עבור משרד סיוע מרחב; ללא דפוס המשך ברור.
CAM-0383,2026-05-14T10:05:00Z,מצלמת דרך,נמוכה,צפון משלוחים,L-203,רישום מנהלי שגרתי עבור צפון משלוחים; ללא דפוס המשך ברור.
MAINT-0410,2026-05-14T10:06:00Z,יומן תחזוקה,בינונית,יחידת תיאום מכס חיפה,L-207,עדכון תפעולי רגיל של יחידת תיאום מכס חיפה; המסמכים תואמים.
ACOU-0255,2026-05-14T10:14:00Z,חיישן אקוסטי,בינונית,צפון משלוחים,L-207,עומס מקומי באזור אזור התעשייה בית שאן; אין קשר ידוע לאירוע הגבול.
CUST-0536,2026-05-14T10:14:00Z,רשומת מכס,נמוכה,גליל הובלות,L-201,עדכון תפעולי רגיל של גליל הובלות; המסמכים תואמים.
PORT-0230,2026-05-14T10:14:00Z,רשומת נמל,גבוהה,עמק שירותי קירור,L-209,שרשרת תמימה BN-003: מכולה CL-5002 של ציוד קירור הגיעה לנקודת קליטה עם מסמכי משלוח תקינים; אין קשר ידוע ל-OF-4482.
CAM-0356,2026-05-14T10:20:00Z,מצלמת דרך,גבוהה,עמק שירותי קירור,L-201,רישום מנהלי שגרתי עבור עמק שירותי קירור; ללא דפוס המשך ברור.
MAINT-0497,2026-05-14T10:21:00Z,יומן תחזוקה,גבוהה,נועה ברק,L-202,עדכון תפעולי רגיל של נועה ברק; המסמכים תואמים.
